18:00:41.677 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:9ef17309
18:00:43.764 [XNIO-1 task-3]  kYgYoH6yTOyN9J-yHhaqcA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:43.773 [XNIO-1 task-3]  ROaZQeyfQduz3dwSM_KH2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:43.773 [XNIO-1 task-3]  ROaZQeyfQduz3dwSM_KH2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:43.774 [XNIO-1 task-3]  ROaZQeyfQduz3dwSM_KH2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:43.774 [XNIO-1 task-3]  ROaZQeyfQduz3dwSM_KH2Q DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:43.784 [XNIO-1 task-3]  ROaZQeyfQduz3dwSM_KH2Q DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:43.790 [XNIO-1 task-3]  t2qfRs4qT4CCjjMLoo7mug DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:43.790 [XNIO-1 task-3]  t2qfRs4qT4CCjjMLoo7mug DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:43.790 [XNIO-1 task-3]  t2qfRs4qT4CCjjMLoo7mug DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:43.791 [XNIO-1 task-3]  t2qfRs4qT4CCjjMLoo7mug DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:43.797 [XNIO-1 task-3]  t2qfRs4qT4CCjjMLoo7mug DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:43.798 [XNIO-1 task-5]  -EVw0WEpRjq9k8am1oo_ow DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:43.799 [XNIO-1 task-5]  -EVw0WEpRjq9k8am1oo_ow DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:43.800 [XNIO-1 task-5]  -EVw0WEpRjq9k8am1oo_ow DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:43.800 [XNIO-1 task-5]  -EVw0WEpRjq9k8am1oo_ow DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NGRlNTUyZmItYTRhNS00NWFkLTljMTEtZmM0MjFmMjg4YTk3Okt5SHZQVWx0VG11aVRzMGtSVDEtNEE=", "Basic NGRlNTUyZmItYTRhNS00NWFkLTljMTEtZmM0MjFmMjg4YTk3Okt5SHZQVWx0VG11aVRzMGtSVDEtNEE=", authorization)
18:00:43.804 [XNIO-1 task-3]  Y-lGyWBnS1Sk1Rr6tkVi-A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:43.804 [XNIO-1 task-3]  Y-lGyWBnS1Sk1Rr6tkVi-A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:43.805 [XNIO-1 task-3]  Y-lGyWBnS1Sk1Rr6tkVi-A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:43.806 [XNIO-1 task-3]  Y-lGyWBnS1Sk1Rr6tkVi-A DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NjUxYjNiZTItOTRhZC00M2Q4LTllOWUtM2E4YjgxODI2YjFhOks3SV9hMFFYUmhTcDNQUzc5YXRsbUE=", "Basic NjUxYjNiZTItOTRhZC00M2Q4LTllOWUtM2E4YjgxODI2YjFhOks3SV9hMFFYUmhTcDNQUzc5YXRsbUE=", authorization)
18:00:43.810 [XNIO-1 task-5]  -EVw0WEpRjq9k8am1oo_ow DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
18:00:43.810 [XNIO-1 task-5]  -EVw0WEpRjq9k8am1oo_ow INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:43.813 [XNIO-1 task-3]  Y-lGyWBnS1Sk1Rr6tkVi-A INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:43.839 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:b303847b-cf37-4313-802c-648aec6dfbed
18:00:43.840 [XNIO-1 task-4]  2QTKKiu3RYCk_BeA7NCzjg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.840 [XNIO-1 task-4]  2QTKKiu3RYCk_BeA7NCzjg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.840 [XNIO-1 task-4]  2QTKKiu3RYCk_BeA7NCzjg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.842 [XNIO-1 task-4]  2QTKKiu3RYCk_BeA7NCzjg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = qFwN59RXTjilRGyFTkj7gg redirectUri = http://localhost:8080/authorization
18:00:43.849 [XNIO-1 task-5]  YVSKSGTaQ-yn1zA1XFqWJA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.849 [XNIO-1 task-5]  YVSKSGTaQ-yn1zA1XFqWJA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.850 [XNIO-1 task-5]  YVSKSGTaQ-yn1zA1XFqWJA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.850 [XNIO-1 task-5]  YVSKSGTaQ-yn1zA1XFqWJA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:43.854 [XNIO-1 task-3]  vhwxmg8uRTST7zaR-GnuIA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.854 [XNIO-1 task-3]  vhwxmg8uRTST7zaR-GnuIA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.854 [XNIO-1 task-4]  2QTKKiu3RYCk_BeA7NCzjg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:43.854 [XNIO-1 task-3]  vhwxmg8uRTST7zaR-GnuIA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:43.855 [XNIO-1 task-3]  vhwxmg8uRTST7zaR-GnuIA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NGRlNTUyZmItYTRhNS00NWFkLTljMTEtZmM0MjFmMjg4YTk3Okt5SHZQVWx0VG11aVRzMGtSVDEtNEE=", "Basic NGRlNTUyZmItYTRhNS00NWFkLTljMTEtZmM0MjFmMjg4YTk3Okt5SHZQVWx0VG11aVRzMGtSVDEtNEE=", authorization)
18:00:43.855 [XNIO-1 task-5]  YVSKSGTaQ-yn1zA1XFqWJA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:43.856 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:26762992-b9f4-4092-8d22-48d71bf7c301
18:00:43.862 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:b303847b-cf37-4313-802c-648aec6dfbed
18:00:43.863 [XNIO-1 task-4]  PXOAa7lxR22ZELwiJJn8Ow DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.863 [XNIO-1 task-4]  PXOAa7lxR22ZELwiJJn8Ow DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.863 [XNIO-1 task-4]  PXOAa7lxR22ZELwiJJn8Ow DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.867 [XNIO-1 task-4]  PXOAa7lxR22ZELwiJJn8Ow DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
SEVERE: [172.24.0.4]:5701 [dev] [3.12] java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
18:00:43.868 [XNIO-1 task-4]  PXOAa7lxR22ZELwiJJn8Ow DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:43.868 [XNIO-1 task-3]  vhwxmg8uRTST7zaR-GnuIA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:43.868 [XNIO-1 task-3]  vhwxmg8uRTST7zaR-GnuIA INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:56)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:28)
18:00:43.871 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:ad20523e-8372-43e5-905b-64b104ded90c
	at com.hazelcast.map.impl.operation.DeleteOperation.run(DeleteOperation.java:44)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.call(OperationRunnerImpl.java:210)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeLargeUpdate(ClientPreparedStatement.java:1345)
	at com.zaxxer.hikari.pool.ProxyPreparedStatement.executeUpdate(ProxyPreparedStatement.java:61)
18:00:43.871 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:6192e6df-a0e5-4420-84f6-9b57a9045ef4
18:00:43.871 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:ad20523e-8372-43e5-905b-64b104ded90c
18:00:43.873 [XNIO-1 task-4]  PXOAa7lxR22ZELwiJJn8Ow INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:43.879 [XNIO-1 task-4]  8jd70nHXQAG48er4oHrNdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.880 [XNIO-1 task-4]  8jd70nHXQAG48er4oHrNdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.880 [XNIO-1 task-4]  8jd70nHXQAG48er4oHrNdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.880 [XNIO-1 task-4]  8jd70nHXQAG48er4oHrNdQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:43.887 [XNIO-1 task-4]  8jd70nHXQAG48er4oHrNdQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:43.894 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:344abcb4-9699-4257-8f31-6528e7e3ad59
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:33)

18:00:43.895 [XNIO-1 task-4]  ynYevZZZQfO5r-42PuwP5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:43.895 [XNIO-1 task-4]  ynYevZZZQfO5r-42PuwP5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:43.896 [XNIO-1 task-4]  ynYevZZZQfO5r-42PuwP5Q DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", authorization)
18:00:43.898 [hz._hzInstance_1_dev.partition-operation.thread-14]   ERROR c.n.oauth.cache.ClientMapStore delete - Exception:
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeLargeUpdate(ClientPreparedStatement.java:1345)
	at com.zaxxer.hikari.pool.ProxyPreparedStatement.executeUpdate(ProxyPreparedStatement.java:61)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:33)
	at com.hazelcast.map.impl.MapStoreWrapper.delete(MapStoreWrapper.java:115)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:28)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.delete(DefaultRecordStore.java:455)
	at com.hazelcast.spi.Operation.call(Operation.java:170)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:199)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:153)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
18:00:43.908 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:26762992-b9f4-4092-8d22-48d71bf7c301
18:00:43.917 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:26762992-b9f4-4092-8d22-48d71bf7c301
18:00:43.919 [XNIO-1 task-4]  DHqWoQRuSIam9gubFTlE1g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.920 [XNIO-1 task-4]  DHqWoQRuSIam9gubFTlE1g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.920 [XNIO-1 task-4]  DHqWoQRuSIam9gubFTlE1g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.920 [XNIO-1 task-4]  DHqWoQRuSIam9gubFTlE1g DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:43.927 [XNIO-1 task-4]  DHqWoQRuSIam9gubFTlE1g INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:43.935 [XNIO-1 task-4]  emSnJsijS0mA3IwUbKI4BQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.935 [XNIO-1 task-4]  emSnJsijS0mA3IwUbKI4BQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.935 [XNIO-1 task-4]  emSnJsijS0mA3IwUbKI4BQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.936 [XNIO-1 task-4]  emSnJsijS0mA3IwUbKI4BQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:43.940 [XNIO-1 task-3]  sreS6esIQSKRhCpuQjWQBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.940 [XNIO-1 task-3]  sreS6esIQSKRhCpuQjWQBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.941 [XNIO-1 task-3]  sreS6esIQSKRhCpuQjWQBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.941 [XNIO-1 task-3]  sreS6esIQSKRhCpuQjWQBQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = XiU-4zsJT2-J7TOPE0dyew redirectUri = http://localhost:8080/authorization
18:00:43.942 [XNIO-1 task-4]  emSnJsijS0mA3IwUbKI4BQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:43.948 [XNIO-1 task-3]  sreS6esIQSKRhCpuQjWQBQ ERROR c.n.o.t.h.Oauth2TokenPostHandler handleRequest - ApiException
	at com.networknt.oauth.token.handler.Oauth2TokenPostHandler.handleAuthorizationCode(Oauth2TokenPostHandler.java:231)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.openapi.ValidatorHandler.handleRequest(ValidatorHandler.java:116)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.audit.AuditHandler.handleRequest(AuditHandler.java:181)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.openapi.OpenApiHandler.handleRequest(OpenApiHandler.java:131)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.traceability.TraceabilityHandler.handleRequest(TraceabilityHandler.java:68)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at io.undertow.server.Connectors.executeRootHandler(Connectors.java:387)
	at org.jboss.threads.ContextClassLoaderSavingRunnable.run(ContextClassLoaderSavingRunnable.java:35)
	at org.jboss.threads.EnhancedQueueExecutor$ThreadBody.doRunTask(EnhancedQueueExecutor.java:1558)
	at java.base/java.lang.Thread.run(Unknown Source)
18:00:43.952 [XNIO-1 task-3]  6rLx9WJoTtun_CnRX3rKpQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.952 [XNIO-1 task-3]  6rLx9WJoTtun_CnRX3rKpQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.954 [XNIO-1 task-3]  6rLx9WJoTtun_CnRX3rKpQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.955 [XNIO-1 task-3]  6rLx9WJoTtun_CnRX3rKpQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:43.960 [XNIO-1 task-3]  6rLx9WJoTtun_CnRX3rKpQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:43.968 [XNIO-1 task-3]  XxQACoVyR7SmXorIhuiNtQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.968 [XNIO-1 task-3]  XxQACoVyR7SmXorIhuiNtQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.969 [XNIO-1 task-3]  XxQACoVyR7SmXorIhuiNtQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.970 [XNIO-1 task-3]  XxQACoVyR7SmXorIhuiNtQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:43.976 [XNIO-1 task-3]  XxQACoVyR7SmXorIhuiNtQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:43.982 [XNIO-1 task-3]  qpFblcnMQ_mYIy88sbm9Aw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.982 [XNIO-1 task-3]  qpFblcnMQ_mYIy88sbm9Aw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.983 [XNIO-1 task-3]  qpFblcnMQ_mYIy88sbm9Aw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.983 [XNIO-1 task-3]  qpFblcnMQ_mYIy88sbm9Aw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:43.989 [XNIO-1 task-3]  qpFblcnMQ_mYIy88sbm9Aw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:43.999 [XNIO-1 task-3]  HXeJsF-6T02Vij2zM0MQ5w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.999 [XNIO-1 task-3]  HXeJsF-6T02Vij2zM0MQ5w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.999 [XNIO-1 task-3]  HXeJsF-6T02Vij2zM0MQ5w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:43.999 [XNIO-1 task-4]  uLa0rnRPT5apgbQCTqavRw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:44.000 [XNIO-1 task-4]  uLa0rnRPT5apgbQCTqavRw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:44.000 [XNIO-1 task-3]  HXeJsF-6T02Vij2zM0MQ5w DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = 26762992-b9f4-4092-8d22-48d71bf7c301 scope = null
18:00:44.000 [XNIO-1 task-4]  uLa0rnRPT5apgbQCTqavRw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:44.000 [XNIO-1 task-4]  uLa0rnRPT5apgbQCTqavRw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:44.004 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:54e80bd1
18:00:44.005 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:26762992-b9f4-4092-8d22-48d71bf7c301
18:00:44.005 [XNIO-1 task-4]  uLa0rnRPT5apgbQCTqavRw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
com.networknt.exception.ApiException: {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token 26762992-b9f4-4092-8d22-48d71bf7c301 is not found.","severity":"ERROR"}
	at com.networknt.oauth.token.handler.Oauth2TokenPostHandler.handleRequest(Oauth2TokenPostHandler.java:120)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.audit.AuditHandler.next(AuditHandler.java:192)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.body.BodyHandler.handleRequest(BodyHandler.java:124)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.correlation.CorrelationHandler.handleRequest(CorrelationHandler.java:77)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.exception.ExceptionHandler.handleRequest(ExceptionHandler.java:76)
	at io.undertow.server.HttpServerExchange$1.run(HttpServerExchange.java:841)
	at org.jboss.threads.EnhancedQueueExecutor.safeRun(EnhancedQueueExecutor.java:2019)
	at org.jboss.threads.EnhancedQueueExecutor$ThreadBody.run(EnhancedQueueExecutor.java:1449)
18:00:44.011 [XNIO-1 task-3]  BKNDkuh_TbS5Dl0swKcgbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:44.011 [XNIO-1 task-3]  BKNDkuh_TbS5Dl0swKcgbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:44.012 [XNIO-1 task-3]  BKNDkuh_TbS5Dl0swKcgbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:44.012 [XNIO-1 task-3]  BKNDkuh_TbS5Dl0swKcgbQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", authorization)
18:00:44.014 [XNIO-1 task-4]  YNNToSCgSX2xEMq0SfwRWw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:44.014 [XNIO-1 task-4]  YNNToSCgSX2xEMq0SfwRWw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:44.014 [XNIO-1 task-4]  YNNToSCgSX2xEMq0SfwRWw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:44.015 [XNIO-1 task-4]  YNNToSCgSX2xEMq0SfwRWw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MzQ0YWJjYjQtOTY5OS00MjU3LThmMzEtNjUyOGU3ZTNhZDU5OndMQTh5MmN0U3ZxVUp1eVlVY3drOGc=", "Basic MzQ0YWJjYjQtOTY5OS00MjU3LThmMzEtNjUyOGU3ZTNhZDU5OndMQTh5MmN0U3ZxVUp1eVlVY3drOGc=", authorization)
18:00:44.017 [XNIO-1 task-3]  BKNDkuh_TbS5Dl0swKcgbQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:44.020 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:26762992-b9f4-4092-8d22-48d71bf7c301
com.networknt.exception.ApiException: {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token 26762992-b9f4-4092-8d22-48d71bf7c301 is not found.","severity":"ERROR"}
	at com.networknt.oauth.token.handler.Oauth2TokenPostHandler.handleRequest(Oauth2TokenPostHandler.java:120)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.audit.AuditHandler.next(AuditHandler.java:192)
	at com.networknt.handler.Handler.next(Handler.java:212)
