18:00:40.287 [XNIO-1 task-1]  FwR53MnwQwqZbvSUx3HKCA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:42.655 [XNIO-1 task-1]  EDhr4TrNTGWVGwo2EEMDbQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:42.657 [XNIO-1 task-2]  -G9Aq6O_RZmhZhSueL3nlA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:42.664 [XNIO-1 task-1]  EDhr4TrNTGWVGwo2EEMDbQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:42.665 [XNIO-1 task-1]  EDhr4TrNTGWVGwo2EEMDbQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:42.666 [XNIO-1 task-2]  -G9Aq6O_RZmhZhSueL3nlA DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:42.666 [XNIO-1 task-2]  -G9Aq6O_RZmhZhSueL3nlA DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:42.668 [XNIO-1 task-2]  -G9Aq6O_RZmhZhSueL3nlA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=1goVDw7KS0eH_MlJHj3DKg
18:00:42.673 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.673 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:42.674 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.674 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG com.networknt.schema.TypeValidator debug - validate( "4de552fb-a4a5-45ad-9c11-fc421f288a97", "4de552fb-a4a5-45ad-9c11-fc421f288a97", client_id)
18:00:42.675 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:42.675 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:42.675 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:42.675 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:42.676 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:42.683 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.683 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:42.683 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:42.683 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:42.684 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.685 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG com.networknt.schema.TypeValidator debug - validate( "06ce6bc9-9d53-486a-a50e-960a4d168f0d", "06ce6bc9-9d53-486a-a50e-960a4d168f0d", client_id)
18:00:42.686 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:42.687 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:42.687 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:42.688 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:42.688 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:42.692 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:c6b5a535
18:00:42.697 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:42.697 [XNIO-1 task-1]  PwgR3rtOSrCMwIWeV3pvvg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:42.723 [XNIO-1 task-2]  PUn3QjQwTuSgzyL2awqNeQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=IPI8pQzJRtmORj2VL41iUQ
18:00:42.731 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.733 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:42.733 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.733 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG com.networknt.schema.TypeValidator debug - validate( "DQH51UayKX7G5HbHU25GHgO0e2Z6gRVeQS3_gBL0Lg0", "DQH51UayKX7G5HbHU25GHgO0e2Z6gRVeQS3_gBL0Lg0", code_challenge)
18:00:42.734 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
18:00:42.734 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:42.734 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:42.735 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:42.735 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:42.735 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:42.745 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:42.745 [XNIO-1 task-1]  4jHaJ9okQXSatgH7m3r0bA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:42.753 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.753 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:42.753 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.754 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG com.networknt.schema.TypeValidator debug - validate( "1E3k6RTiqqT36hLpCiRsVF0GvWV_fRldhND_eOD1U-s", "1E3k6RTiqqT36hLpCiRsVF0GvWV_fRldhND_eOD1U-s", code_challenge)
18:00:42.754 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
18:00:42.755 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:42.755 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:42.755 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:42.755 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:42.756 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:42.780 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:42.780 [XNIO-1 task-1]  5L1DpG90RtyWzHbuL5JZHg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:42.795 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.795 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:42.795 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.796 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG com.networknt.schema.TypeValidator debug - validate( "KJ5omPfMQIzV3anI16a6uIJAhs6LVS1ObE8ozNyMEso", "KJ5omPfMQIzV3anI16a6uIJAhs6LVS1ObE8ozNyMEso", code_challenge)
18:00:42.796 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
18:00:42.796 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:42.797 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:42.797 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:42.797 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:42.797 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:42.802 [XNIO-1 task-2]  aGBnkMqeRPOXekaXQ7X4uw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.802 [XNIO-1 task-2]  aGBnkMqeRPOXekaXQ7X4uw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.802 [XNIO-1 task-2]  aGBnkMqeRPOXekaXQ7X4uw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.853 [XNIO-1 task-2]  aGBnkMqeRPOXekaXQ7X4uw DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:42.853 [XNIO-1 task-2]  aGBnkMqeRPOXekaXQ7X4uw DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:42.860 [XNIO-1 task-2]  aGBnkMqeRPOXekaXQ7X4uw DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:42.860 [XNIO-1 task-2]  aGBnkMqeRPOXekaXQ7X4uw DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:42.860 [XNIO-1 task-2]  aGBnkMqeRPOXekaXQ7X4uw DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:42.862 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:42.862 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:42.867 [XNIO-1 task-1]  NNHRPs18S3uWyCDq-EqpnQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=MjHFYZLLQt2YwTOHOcsLWQ
18:00:42.873 [XNIO-1 task-2]  aGBnkMqeRPOXekaXQ7X4uw DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:42.873 [XNIO-1 task-2]  aGBnkMqeRPOXekaXQ7X4uw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:42.919 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.920 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:42.920 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.920 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG com.networknt.schema.TypeValidator debug - validate( "93918b0a-406f-4732-9071-3123fc8c8218", "93918b0a-406f-4732-9071-3123fc8c8218", client_id)
18:00:42.921 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:42.922 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:42.922 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:42.922 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:42.922 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:42.939 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:42.939 [XNIO-1 task-2]  HdZYpwlETB62vm-cVpzaSg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:42.949 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.950 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:42.950 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.950 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG com.networknt.schema.TypeValidator debug - validate( "651b3be2-94ad-43d8-9e9e-3a8b81826b1a", "651b3be2-94ad-43d8-9e9e-3a8b81826b1a", client_id)
18:00:42.951 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:42.951 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:42.951 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:42.951 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:42.953 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:42.960 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.960 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.961 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.961 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG com.networknt.schema.TypeValidator debug - validate( "06ce6bc9-9d53-486a-a50e-960a4d168f0d", "06ce6bc9-9d53-486a-a50e-960a4d168f0d", client_id)
18:00:42.962 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:42.962 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:42.962 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:42.963 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:42.963 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:42.963 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:42.964 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:42.969 [XNIO-1 task-2]  bhef5z5-RzKbIBA5gemx6Q DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=2-QslTM6TquSM8Jxkj6GYA
18:00:42.972 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:42.972 [XNIO-1 task-1]  8MxI7QwUTvWFRc3J_T_j_Q DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:42.981 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.982 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:42.982 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.982 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG com.networknt.schema.TypeValidator debug - validate( "snx5ddCSjTSFCXSoik2CJEYB5t2fejrbYjXlcojC9WU", "snx5ddCSjTSFCXSoik2CJEYB5t2fejrbYjXlcojC9WU", code_challenge)
18:00:42.984 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
18:00:42.985 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:42.985 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:42.985 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:42.985 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:42.986 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:42.995 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:42.995 [XNIO-1 task-1]  nUWpcuA2QFqBDpXQ94TZeQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:43.009 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:43.010 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:43.010 [XNIO-1 task-2]  2YaLlH89QuO8PGNQe814Pw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:43.010 [XNIO-1 task-2]  2YaLlH89QuO8PGNQe814Pw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:43.010 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:43.010 [XNIO-1 task-2]  2YaLlH89QuO8PGNQe814Pw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:43.011 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG com.networknt.schema.TypeValidator debug - validate( "4de552fb-a4a5-45ad-9c11-fc421f288a97", "4de552fb-a4a5-45ad-9c11-fc421f288a97", client_id)
18:00:43.011 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:43.011 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:43.011 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:43.011 [XNIO-1 task-2]  2YaLlH89QuO8PGNQe814Pw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:43.011 [XNIO-1 task-2]  2YaLlH89QuO8PGNQe814Pw DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:43.011 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:43.011 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:43.012 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:43.012 [XNIO-1 task-1]  qpxUna6wSU2mGxTIkiEZMw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:43.012 [XNIO-1 task-2]  2YaLlH89QuO8PGNQe814Pw DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:43.012 [XNIO-1 task-2]  2YaLlH89QuO8PGNQe814Pw DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:43.023 [XNIO-1 task-2]  2YaLlH89QuO8PGNQe814Pw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:43.023 [XNIO-1 task-2]  2YaLlH89QuO8PGNQe814Pw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
