23:10:19.937 [XNIO-1 task-1]  v-CwHm1PQvmHEuXa-uXWTw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/9839f140-fbdf-42c1-a11f-3397c148ea80, base path is set to: null
23:10:20.435 [XNIO-1 task-1]  1b9w-rAEQ4K4NYrPU0S0OQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.435 [XNIO-1 task-1]  1b9w-rAEQ4K4NYrPU0S0OQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.435 [XNIO-1 task-1]  1b9w-rAEQ4K4NYrPU0S0OQ DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenDeleteHandler handleRequest - refreshToken = 6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.438 [XNIO-1 task-1]  tcNSbWe3QBWXhiVBb6JtRA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3, base path is set to: null
23:10:20.438 [XNIO-1 task-1]  tcNSbWe3QBWXhiVBb6JtRA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.438 [XNIO-1 task-1]  tcNSbWe3QBWXhiVBb6JtRA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.438 [XNIO-1 task-1]  tcNSbWe3QBWXhiVBb6JtRA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3, base path is set to: null
23:10:20.438 [XNIO-1 task-1]  tcNSbWe3QBWXhiVBb6JtRA DEBUG com.networknt.schema.TypeValidator debug - validate( "6b5edfa8-b568-4db3-9f4c-a482f8148ca3", "6b5edfa8-b568-4db3-9f4c-a482f8148ca3", refreshToken)
23:10:20.438 [XNIO-1 task-1]  tcNSbWe3QBWXhiVBb6JtRA ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token 6b5edfa8-b568-4db3-9f4c-a482f8148ca3 is not found.","severity":"ERROR"}
23:10:20.442 [XNIO-1 task-1]  0Q-U0vNLSIOZjh2eKUJIZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.442 [XNIO-1 task-1]  0Q-U0vNLSIOZjh2eKUJIZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.443 [XNIO-1 task-1]  0Q-U0vNLSIOZjh2eKUJIZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.443 [XNIO-1 task-1]  0Q-U0vNLSIOZjh2eKUJIZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.443 [XNIO-1 task-1]  0Q-U0vNLSIOZjh2eKUJIZA DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenGetHandler handleRequest - refreshToken = 6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.445 [XNIO-1 task-1]  6OnoMx1_TT-B-HH2Rg1Nbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3, base path is set to: null
23:10:20.445 [XNIO-1 task-1]  6OnoMx1_TT-B-HH2Rg1Nbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.445 [XNIO-1 task-1]  6OnoMx1_TT-B-HH2Rg1Nbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.446 [XNIO-1 task-1]  6OnoMx1_TT-B-HH2Rg1Nbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3, base path is set to: null
23:10:20.446 [XNIO-1 task-1]  6OnoMx1_TT-B-HH2Rg1Nbw DEBUG com.networknt.schema.TypeValidator debug - validate( "6b5edfa8-b568-4db3-9f4c-a482f8148ca3", "6b5edfa8-b568-4db3-9f4c-a482f8148ca3", refreshToken)
23:10:20.446 [XNIO-1 task-1]  6OnoMx1_TT-B-HH2Rg1Nbw ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token 6b5edfa8-b568-4db3-9f4c-a482f8148ca3 is not found.","severity":"ERROR"}
23:10:20.449 [XNIO-1 task-1]  72DgHltQTTS-BrqIde6fAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.449 [XNIO-1 task-1]  72DgHltQTTS-BrqIde6fAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.449 [XNIO-1 task-1]  72DgHltQTTS-BrqIde6fAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.449 [XNIO-1 task-1]  72DgHltQTTS-BrqIde6fAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.449 [XNIO-1 task-1]  72DgHltQTTS-BrqIde6fAg DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenGetHandler handleRequest - refreshToken = 6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.451 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:0a987bcd-19d1-492a-b874-7984e0e012ca
23:10:20.459 [XNIO-1 task-1]  iU7f_LYARV-CCbvmFNABeg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3, base path is set to: null
23:10:20.459 [XNIO-1 task-1]  iU7f_LYARV-CCbvmFNABeg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.459 [XNIO-1 task-1]  iU7f_LYARV-CCbvmFNABeg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.459 [XNIO-1 task-1]  iU7f_LYARV-CCbvmFNABeg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3, base path is set to: null
23:10:20.459 [XNIO-1 task-1]  iU7f_LYARV-CCbvmFNABeg DEBUG com.networknt.schema.TypeValidator debug - validate( "6b5edfa8-b568-4db3-9f4c-a482f8148ca3", "6b5edfa8-b568-4db3-9f4c-a482f8148ca3", refreshToken)
23:10:20.459 [XNIO-1 task-1]  iU7f_LYARV-CCbvmFNABeg DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenGetHandler handleRequest - refreshToken = 6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.459 [XNIO-1 task-1]  iU7f_LYARV-CCbvmFNABeg ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token 6b5edfa8-b568-4db3-9f4c-a482f8148ca3 is not found.","severity":"ERROR"}
23:10:20.462 [XNIO-1 task-1]  n1IxnIwwSomPpqiVR3Wkzw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.462 [XNIO-1 task-1]  n1IxnIwwSomPpqiVR3Wkzw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.462 [XNIO-1 task-1]  n1IxnIwwSomPpqiVR3Wkzw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.463 [XNIO-1 task-1]  n1IxnIwwSomPpqiVR3Wkzw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.463 [XNIO-1 task-1]  n1IxnIwwSomPpqiVR3Wkzw DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenDeleteHandler handleRequest - refreshToken = 6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.465 [XNIO-1 task-1]  UCifiJxwS_q5ArD4747jZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3, base path is set to: null
23:10:20.466 [XNIO-1 task-1]  UCifiJxwS_q5ArD4747jZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.466 [XNIO-1 task-1]  UCifiJxwS_q5ArD4747jZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.466 [XNIO-1 task-1]  UCifiJxwS_q5ArD4747jZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3, base path is set to: null
23:10:20.466 [XNIO-1 task-1]  UCifiJxwS_q5ArD4747jZA DEBUG com.networknt.schema.TypeValidator debug - validate( "6b5edfa8-b568-4db3-9f4c-a482f8148ca3", "6b5edfa8-b568-4db3-9f4c-a482f8148ca3", refreshToken)
23:10:20.466 [XNIO-1 task-1]  UCifiJxwS_q5ArD4747jZA ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token 6b5edfa8-b568-4db3-9f4c-a482f8148ca3 is not found.","severity":"ERROR"}
23:10:20.473 [XNIO-1 task-1]  SJ4vmI5sTNyYKmXfUs5Fmw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.474 [XNIO-1 task-1]  SJ4vmI5sTNyYKmXfUs5Fmw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.474 [XNIO-1 task-1]  SJ4vmI5sTNyYKmXfUs5Fmw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.479 [XNIO-1 task-1]  SJ4vmI5sTNyYKmXfUs5Fmw DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:20.488 [XNIO-1 task-1]  3FV1q7xBRd-mnwCY9lK6cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.488 [XNIO-1 task-1]  3FV1q7xBRd-mnwCY9lK6cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.488 [XNIO-1 task-1]  3FV1q7xBRd-mnwCY9lK6cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.488 [XNIO-1 task-1]  3FV1q7xBRd-mnwCY9lK6cQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
23:10:20.489 [XNIO-1 task-1]  3FV1q7xBRd-mnwCY9lK6cQ DEBUG c.n.o.t.h.Oauth2RefreshTokenGetHandler handleRequest - userId = % page = 0 pageSize = 10
23:10:20.495 [XNIO-1 task-1]  6i2avBOwTJicEf_OQxa5zw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.495 [XNIO-1 task-1]  6i2avBOwTJicEf_OQxa5zw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.495 [XNIO-1 task-1]  6i2avBOwTJicEf_OQxa5zw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.495 [XNIO-1 task-1]  6i2avBOwTJicEf_OQxa5zw DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:20.497 [hz._hzInstance_1_dev.partition-operation.thread-10]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:4d850486
23:10:20.500 [XNIO-1 task-1]  8XtvJSoSSiidzNTxQ0-HJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.501 [XNIO-1 task-1]  8XtvJSoSSiidzNTxQ0-HJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.501 [XNIO-1 task-1]  8XtvJSoSSiidzNTxQ0-HJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.501 [XNIO-1 task-1]  8XtvJSoSSiidzNTxQ0-HJQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
23:10:20.501 [XNIO-1 task-1]  8XtvJSoSSiidzNTxQ0-HJQ DEBUG c.n.o.t.h.Oauth2RefreshTokenGetHandler handleRequest - userId = % page = 0 pageSize = 10
23:10:20.509 [XNIO-1 task-1]  4qMsrhwUSJqF2DsrcC6PKA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.509 [XNIO-1 task-1]  4qMsrhwUSJqF2DsrcC6PKA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.509 [XNIO-1 task-1]  4qMsrhwUSJqF2DsrcC6PKA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.509 [XNIO-1 task-1]  4qMsrhwUSJqF2DsrcC6PKA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.509 [XNIO-1 task-1]  4qMsrhwUSJqF2DsrcC6PKA DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenDeleteHandler handleRequest - refreshToken = 6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.511 [XNIO-1 task-1]  ngB1xPGARdqU87x3QzUiZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/5f845934-7eee-4d55-82c4-1a0c9907e674, base path is set to: null
23:10:20.511 [XNIO-1 task-1]  ngB1xPGARdqU87x3QzUiZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.511 [XNIO-1 task-1]  ngB1xPGARdqU87x3QzUiZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.511 [XNIO-1 task-1]  ngB1xPGARdqU87x3QzUiZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/5f845934-7eee-4d55-82c4-1a0c9907e674, base path is set to: null
23:10:20.511 [XNIO-1 task-1]  ngB1xPGARdqU87x3QzUiZQ DEBUG com.networknt.schema.TypeValidator debug - validate( "5f845934-7eee-4d55-82c4-1a0c9907e674", "5f845934-7eee-4d55-82c4-1a0c9907e674", refreshToken)
23:10:20.514 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:92169f7c-ebc1-4f5b-8b76-a4a99882fdfb
23:10:20.528 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:2a67b3a0-5337-4148-832a-b6f7dbdb2229
23:10:20.529 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:2a67b3a0-5337-4148-832a-b6f7dbdb2229
23:10:20.535 [XNIO-1 task-1]  ri8fe3IeS0qdpYvLsKGRAA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.535 [XNIO-1 task-1]  ri8fe3IeS0qdpYvLsKGRAA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.535 [XNIO-1 task-1]  ri8fe3IeS0qdpYvLsKGRAA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.535 [XNIO-1 task-1]  ri8fe3IeS0qdpYvLsKGRAA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:20.543 [XNIO-1 task-1]  H3sfxqAAR8mjQq-QfrwT1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.543 [XNIO-1 task-1]  H3sfxqAAR8mjQq-QfrwT1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.543 [XNIO-1 task-1]  H3sfxqAAR8mjQq-QfrwT1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.543 [XNIO-1 task-1]  H3sfxqAAR8mjQq-QfrwT1A DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
23:10:20.544 [XNIO-1 task-1]  H3sfxqAAR8mjQq-QfrwT1A DEBUG c.n.o.t.h.Oauth2RefreshTokenGetHandler handleRequest - userId = % page = 0 pageSize = 10
23:10:20.549 [XNIO-1 task-1]  N9tNsVDzS-ap9P1f3HEEmw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.549 [XNIO-1 task-1]  N9tNsVDzS-ap9P1f3HEEmw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.550 [XNIO-1 task-1]  N9tNsVDzS-ap9P1f3HEEmw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.550 [XNIO-1 task-1]  N9tNsVDzS-ap9P1f3HEEmw DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:20.551 [hz._hzInstance_1_dev.partition-operation.thread-10]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:4d850486
23:10:20.556 [XNIO-1 task-1]  klNt5AkmS1K4TepkdjzrLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/a0332a10-7919-4032-b06f-c7506d959444, base path is set to: null
23:10:20.556 [XNIO-1 task-1]  klNt5AkmS1K4TepkdjzrLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.556 [XNIO-1 task-1]  klNt5AkmS1K4TepkdjzrLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.556 [XNIO-1 task-1]  klNt5AkmS1K4TepkdjzrLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/a0332a10-7919-4032-b06f-c7506d959444, base path is set to: null
23:10:20.556 [XNIO-1 task-1]  klNt5AkmS1K4TepkdjzrLQ DEBUG com.networknt.schema.TypeValidator debug - validate( "a0332a10-7919-4032-b06f-c7506d959444", "a0332a10-7919-4032-b06f-c7506d959444", refreshToken)
23:10:20.556 [XNIO-1 task-1]  klNt5AkmS1K4TepkdjzrLQ ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token a0332a10-7919-4032-b06f-c7506d959444 is not found.","severity":"ERROR"}
23:10:20.566 [XNIO-1 task-1]  a6WDejhpR9WD2moGfmIKOg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/011ecb81-353a-404e-8f0f-fcbef48ccb68
23:10:20.566 [XNIO-1 task-1]  a6WDejhpR9WD2moGfmIKOg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.566 [XNIO-1 task-1]  a6WDejhpR9WD2moGfmIKOg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.566 [XNIO-1 task-1]  a6WDejhpR9WD2moGfmIKOg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/011ecb81-353a-404e-8f0f-fcbef48ccb68
23:10:20.566 [XNIO-1 task-1]  a6WDejhpR9WD2moGfmIKOg DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenGetHandler handleRequest - refreshToken = 011ecb81-353a-404e-8f0f-fcbef48ccb68
23:10:20.573 [XNIO-1 task-1]  RGYAgMytTdyPrYbqViglYQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.573 [XNIO-1 task-1]  RGYAgMytTdyPrYbqViglYQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.573 [XNIO-1 task-1]  RGYAgMytTdyPrYbqViglYQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.573 [XNIO-1 task-1]  RGYAgMytTdyPrYbqViglYQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
23:10:20.573 [XNIO-1 task-1]  RGYAgMytTdyPrYbqViglYQ DEBUG c.n.o.t.h.Oauth2RefreshTokenGetHandler handleRequest - userId = % page = 0 pageSize = 10
23:10:20.578 [XNIO-1 task-1]  4vjZc5PsQGqHl4iRFXrQHQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.578 [XNIO-1 task-1]  4vjZc5PsQGqHl4iRFXrQHQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.578 [XNIO-1 task-1]  4vjZc5PsQGqHl4iRFXrQHQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.578 [XNIO-1 task-1]  4vjZc5PsQGqHl4iRFXrQHQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:20.583 [XNIO-1 task-1]  6BldNKNyRj-eciins9auqw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.583 [XNIO-1 task-1]  6BldNKNyRj-eciins9auqw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.584 [XNIO-1 task-1]  6BldNKNyRj-eciins9auqw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.584 [XNIO-1 task-1]  6BldNKNyRj-eciins9auqw DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
23:10:20.584 [XNIO-1 task-1]  6BldNKNyRj-eciins9auqw DEBUG c.n.o.t.h.Oauth2RefreshTokenGetHandler handleRequest - userId = % page = 0 pageSize = 10
23:10:20.591 [XNIO-1 task-1]  W1GtT9XUSUixTRylK0y6ng DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.591 [XNIO-1 task-1]  W1GtT9XUSUixTRylK0y6ng DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.591 [XNIO-1 task-1]  W1GtT9XUSUixTRylK0y6ng DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.591 [XNIO-1 task-1]  W1GtT9XUSUixTRylK0y6ng DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:20.605 [XNIO-1 task-1]  OJoenCvETQaiX8Y1Z1CWyA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.606 [XNIO-1 task-1]  OJoenCvETQaiX8Y1Z1CWyA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.606 [XNIO-1 task-1]  OJoenCvETQaiX8Y1Z1CWyA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.606 [XNIO-1 task-1]  OJoenCvETQaiX8Y1Z1CWyA DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
23:10:20.606 [XNIO-1 task-1]  OJoenCvETQaiX8Y1Z1CWyA DEBUG c.n.o.t.h.Oauth2RefreshTokenGetHandler handleRequest - userId = % page = 0 pageSize = 10
23:10:20.610 [XNIO-1 task-1]  jyKSmW7FQEessM-DL37-vA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/a0332a10-7919-4032-b06f-c7506d959444
23:10:20.610 [XNIO-1 task-1]  jyKSmW7FQEessM-DL37-vA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.610 [XNIO-1 task-1]  jyKSmW7FQEessM-DL37-vA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.610 [XNIO-1 task-1]  jyKSmW7FQEessM-DL37-vA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/a0332a10-7919-4032-b06f-c7506d959444
23:10:20.611 [XNIO-1 task-1]  jyKSmW7FQEessM-DL37-vA DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenDeleteHandler handleRequest - refreshToken = a0332a10-7919-4032-b06f-c7506d959444
23:10:20.613 [XNIO-1 task-1]  8a9atuFFSqKT6pwI6XutQg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.613 [XNIO-1 task-1]  8a9atuFFSqKT6pwI6XutQg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.613 [XNIO-1 task-1]  8a9atuFFSqKT6pwI6XutQg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.613 [XNIO-1 task-1]  8a9atuFFSqKT6pwI6XutQg DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
23:10:20.613 [XNIO-1 task-1]  8a9atuFFSqKT6pwI6XutQg DEBUG c.n.o.t.h.Oauth2RefreshTokenGetHandler handleRequest - userId = % page = 0 pageSize = 10
23:10:20.624 [XNIO-1 task-1]  IoaW600lTOiBiIlM4pg2WA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/011ecb81-353a-404e-8f0f-fcbef48ccb68, base path is set to: null
23:10:20.624 [XNIO-1 task-1]  IoaW600lTOiBiIlM4pg2WA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.624 [XNIO-1 task-1]  IoaW600lTOiBiIlM4pg2WA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.624 [XNIO-1 task-1]  IoaW600lTOiBiIlM4pg2WA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/011ecb81-353a-404e-8f0f-fcbef48ccb68, base path is set to: null
23:10:20.625 [XNIO-1 task-1]  IoaW600lTOiBiIlM4pg2WA DEBUG com.networknt.schema.TypeValidator debug - validate( "011ecb81-353a-404e-8f0f-fcbef48ccb68", "011ecb81-353a-404e-8f0f-fcbef48ccb68", refreshToken)
