19:00:41.635 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:0a7d5b86
19:00:43.307 [XNIO-1 task-1]  07AZB4dWSRKAZ5md6r6yEg DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:43.308 [XNIO-1 task-1]  07AZB4dWSRKAZ5md6r6yEg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:43.308 [XNIO-1 task-1]  07AZB4dWSRKAZ5md6r6yEg DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:43.308 [XNIO-1 task-1]  07AZB4dWSRKAZ5md6r6yEg DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:43.308 [XNIO-1 task-1]  07AZB4dWSRKAZ5md6r6yEg DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:43.327 [XNIO-1 task-1]  07AZB4dWSRKAZ5md6r6yEg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:43.327 [XNIO-1 task-1]  07AZB4dWSRKAZ5md6r6yEg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:43.341 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.341 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:43.341 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.342 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG com.networknt.schema.TypeValidator debug - validate( "e17f039c-8502-4eae-8bc0-923def0f5a7c", "e17f039c-8502-4eae-8bc0-923def0f5a7c", client_id)
19:00:43.343 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:43.343 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:43.344 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:43.344 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:43.344 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:43.357 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:37314aa3-56f5-4ddd-8303-a22fc53e65ac
19:00:43.361 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:43.362 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:43.398 [XNIO-1 task-1]  9QqBx7vjQTejpvVB6FGW5w DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=4GDTbvSXSeanM368FDc8GQ
19:00:43.410 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.410 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.410 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.411 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG com.networknt.schema.TypeValidator debug - validate( "50b9e989-ef60-40bb-891c-abe26c314c69", "50b9e989-ef60-40bb-891c-abe26c314c69", client_id)
19:00:43.411 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:43.411 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:43.411 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:43.411 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:43.412 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:43.424 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:43.424 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:43.431 [XNIO-1 task-1]  FWGnAHyZTAaOuf2QKbLapA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=dC1a3Qr_Qr6X6CaKL_JP-Q
19:00:43.475 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:09d63fb7-f241-44eb-897e-a884d714c85c
19:00:43.482 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.482 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.483 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.486 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:43.486 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:43.487 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:43.487 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:43.489 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:43.496 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:43.496 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:43.499 [XNIO-1 task-1]  sYWXgrwCQySpMvKZmc1QyA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=JLjT4zwSSaWGi4fX_P03gA
19:00:43.504 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.504 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:43.504 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.505 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG com.networknt.schema.TypeValidator debug - validate( "de084ff0-62f5-4b6f-b629-597683e9d2ce", "de084ff0-62f5-4b6f-b629-597683e9d2ce", client_id)
19:00:43.505 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:43.505 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:43.505 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:43.505 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:43.506 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:43.518 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:43.518 [XNIO-1 task-1]  VKlkJHZbRjGPOSVxObCBXg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:43.528 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.528 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:43.529 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.529 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG com.networknt.schema.TypeValidator debug - validate( "366825f3-9f2d-4e9e-8b4e-35efbd34304c", "366825f3-9f2d-4e9e-8b4e-35efbd34304c", client_id)
19:00:43.529 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:43.530 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:43.530 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:43.530 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:43.530 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:43.543 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:43.543 [XNIO-1 task-1]  K9zR7chLTGaxcuqgOXR75Q DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:43.551 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.552 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:43.552 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.552 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG com.networknt.schema.TypeValidator debug - validate( "366825f3-9f2d-4e9e-8b4e-35efbd34304c", "366825f3-9f2d-4e9e-8b4e-35efbd34304c", client_id)
19:00:43.553 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:43.553 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:43.553 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:43.553 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:43.553 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:43.562 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:43.562 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:43.564 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.564 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.564 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.565 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG com.networknt.schema.TypeValidator debug - validate( "e17f039c-8502-4eae-8bc0-923def0f5a7c", "e17f039c-8502-4eae-8bc0-923def0f5a7c", client_id)
19:00:43.565 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:43.565 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:43.565 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:43.566 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:43.566 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:43.567 [XNIO-1 task-1]  IpQpDI93RJ-iGjo6f-z9WQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=PI65RfNzQLe_3nhr3B9ohQ
19:00:43.574 [XNIO-1 task-1]  SRdLJXE6TZiNsP9m-MwjyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.574 [XNIO-1 task-1]  SRdLJXE6TZiNsP9m-MwjyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.574 [XNIO-1 task-1]  SRdLJXE6TZiNsP9m-MwjyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.575 [XNIO-1 task-1]  SRdLJXE6TZiNsP9m-MwjyA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:43.576 [XNIO-1 task-1]  SRdLJXE6TZiNsP9m-MwjyA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:43.576 [XNIO-1 task-1]  SRdLJXE6TZiNsP9m-MwjyA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:43.576 [XNIO-1 task-1]  SRdLJXE6TZiNsP9m-MwjyA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:43.576 [XNIO-1 task-1]  SRdLJXE6TZiNsP9m-MwjyA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:43.576 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:43.577 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:43.580 [XNIO-1 task-2]  dBbcZ2IPQECQyrTmz2iMfA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=oMfWuSQBRXGMVSnfxHmOIw
19:00:43.585 [XNIO-1 task-1]  SRdLJXE6TZiNsP9m-MwjyA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:43.585 [XNIO-1 task-1]  SRdLJXE6TZiNsP9m-MwjyA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:43.586 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.587 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.587 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.587 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG com.networknt.schema.TypeValidator debug - validate( "S115FPQ3hgVpt-pki-7Xwy37329Db7toM0h9zMA388U", "S115FPQ3hgVpt-pki-7Xwy37329Db7toM0h9zMA388U", code_challenge)
19:00:43.589 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
19:00:43.589 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:43.590 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:43.590 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:43.590 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:43.590 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:43.605 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:43.605 [XNIO-1 task-2]  NAtM2oOGS5yRcaaHxBsGzw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:43.613 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.614 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:43.614 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.615 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG com.networknt.schema.TypeValidator debug - validate( "9EwkV8op9IRPJGqZVs9yM2ktWX6v7jmV6uDeaDX93bs", "9EwkV8op9IRPJGqZVs9yM2ktWX6v7jmV6uDeaDX93bs", code_challenge)
19:00:43.615 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
19:00:43.616 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:43.616 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:43.617 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:43.620 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:43.621 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:43.627 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:43.627 [XNIO-1 task-2]  N_xlDaYGT4W9IICSXvrL6w DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:43.636 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.639 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:43.639 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:43.640 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG com.networknt.schema.TypeValidator debug - validate( "hzxyM0Fk4wVFZGE7r-meAVWk7BXz62yiRwYdZu4TX-A", "hzxyM0Fk4wVFZGE7r-meAVWk7BXz62yiRwYdZu4TX-A", code_challenge)
19:00:43.642 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
19:00:43.642 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:43.643 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:43.643 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:43.643 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:43.643 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:43.651 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:43.651 [XNIO-1 task-2]  n2Xt6RHbS72FzTiz6_qTBA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:43.673 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:3af21d7e
19:00:43.675 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:3af21d7e
19:00:43.730 [XNIO-1 task-2]  sGzCrPGnQ66C8SkuiT5GfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.730 [XNIO-1 task-2]  sGzCrPGnQ66C8SkuiT5GfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.731 [XNIO-1 task-2]  sGzCrPGnQ66C8SkuiT5GfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:43.732 [XNIO-1 task-2]  sGzCrPGnQ66C8SkuiT5GfA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:43.732 [XNIO-1 task-2]  sGzCrPGnQ66C8SkuiT5GfA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:43.732 [XNIO-1 task-2]  sGzCrPGnQ66C8SkuiT5GfA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
