08:11:46.169 [XNIO-1 task-2]  MBjlzHl4Q6O-EmMDAPKNyQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/65b2e657
08:11:47.114 [XNIO-1 task-2]  upt60BqkQZyoGyAgz4M37A DEBUG com.networknt.schema.TypeValidator debug - validate( "cfb90e9d-ee58-4169-8f30-12f9a78731de", {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
08:11:47.114 [XNIO-1 task-2]  upt60BqkQZyoGyAgz4M37A DEBUG com.networknt.schema.TypeValidator debug - validate( "0ea402c4", {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
08:11:47.114 [XNIO-1 task-2]  upt60BqkQZyoGyAgz4M37A DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
08:11:47.114 [XNIO-1 task-2]  upt60BqkQZyoGyAgz4M37A DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.122 [XNIO-1 task-2]  c0IZB_ImTCCy8HklZaOomQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.122 [XNIO-1 task-2]  c0IZB_ImTCCy8HklZaOomQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.122 [XNIO-1 task-2]  c0IZB_ImTCCy8HklZaOomQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.122 [XNIO-1 task-2]  c0IZB_ImTCCy8HklZaOomQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
08:11:47.130 [XNIO-1 task-2]  al5AYdi-R72HGphMbAypRg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.131 [XNIO-1 task-2]  al5AYdi-R72HGphMbAypRg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.131 [XNIO-1 task-2]  al5AYdi-R72HGphMbAypRg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.131 [XNIO-1 task-2]  al5AYdi-R72HGphMbAypRg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.131 [XNIO-1 task-2]  al5AYdi-R72HGphMbAypRg DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:47.131 [XNIO-1 task-2]  al5AYdi-R72HGphMbAypRg DEBUG com.networknt.schema.TypeValidator debug - validate( "cfb90e9d-ee58-4169-8f30-12f9a78731de", {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
08:11:47.131 [XNIO-1 task-2]  al5AYdi-R72HGphMbAypRg DEBUG com.networknt.schema.TypeValidator debug - validate( "0ea402c4", {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
08:11:47.131 [XNIO-1 task-2]  al5AYdi-R72HGphMbAypRg DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
08:11:47.131 [XNIO-1 task-2]  al5AYdi-R72HGphMbAypRg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.138 [XNIO-1 task-2]  3tnMajbvSteHRq8hARaIQg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.138 [XNIO-1 task-2]  3tnMajbvSteHRq8hARaIQg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.138 [XNIO-1 task-2]  3tnMajbvSteHRq8hARaIQg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.138 [XNIO-1 task-2]  3tnMajbvSteHRq8hARaIQg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"c571b313","serviceName":"56443568-dbab-4a0c-8ca7-2af41463","serviceDesc":"12697a98-3493-4c96-ba4d-e1c01f2def33","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"c571b313","serviceName":"56443568-dbab-4a0c-8ca7-2af41463","serviceDesc":"12697a98-3493-4c96-ba4d-e1c01f2def33","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.138 [XNIO-1 task-2]  3tnMajbvSteHRq8hARaIQg DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"c571b313","serviceName":"56443568-dbab-4a0c-8ca7-2af41463","serviceDesc":"12697a98-3493-4c96-ba4d-e1c01f2def33","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:47.138 [XNIO-1 task-2]  3tnMajbvSteHRq8hARaIQg DEBUG com.networknt.schema.TypeValidator debug - validate( "12697a98-3493-4c96-ba4d-e1c01f2def33", {"serviceType":"swagger","serviceId":"c571b313","serviceName":"56443568-dbab-4a0c-8ca7-2af41463","serviceDesc":"12697a98-3493-4c96-ba4d-e1c01f2def33","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
08:11:47.138 [XNIO-1 task-2]  3tnMajbvSteHRq8hARaIQg DEBUG com.networknt.schema.TypeValidator debug - validate( "c571b313", {"serviceType":"swagger","serviceId":"c571b313","serviceName":"56443568-dbab-4a0c-8ca7-2af41463","serviceDesc":"12697a98-3493-4c96-ba4d-e1c01f2def33","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
08:11:47.138 [XNIO-1 task-2]  3tnMajbvSteHRq8hARaIQg DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"c571b313","serviceName":"56443568-dbab-4a0c-8ca7-2af41463","serviceDesc":"12697a98-3493-4c96-ba4d-e1c01f2def33","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
08:11:47.138 [XNIO-1 task-2]  3tnMajbvSteHRq8hARaIQg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"c571b313","serviceName":"56443568-dbab-4a0c-8ca7-2af41463","serviceDesc":"12697a98-3493-4c96-ba4d-e1c01f2def33","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"c571b313","serviceName":"56443568-dbab-4a0c-8ca7-2af41463","serviceDesc":"12697a98-3493-4c96-ba4d-e1c01f2def33","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.151 [XNIO-1 task-2]  agfX0ZYSRfCwZNPZSj9s7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.151 [XNIO-1 task-2]  agfX0ZYSRfCwZNPZSj9s7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.151 [XNIO-1 task-2]  agfX0ZYSRfCwZNPZSj9s7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.152 [XNIO-1 task-2]  agfX0ZYSRfCwZNPZSj9s7Q DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
08:11:47.158 [XNIO-1 task-2]  LEqECepYRbiCVId3kFvmNw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/c571b313
08:11:47.158 [XNIO-1 task-2]  LEqECepYRbiCVId3kFvmNw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.158 [XNIO-1 task-2]  LEqECepYRbiCVId3kFvmNw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:47.158 [XNIO-1 task-2]  LEqECepYRbiCVId3kFvmNw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/c571b313
08:11:47.159 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:1074d9a2-348d-4406-a548-f3bf05902e86
08:11:47.170 [XNIO-1 task-2]  E63X8ahCRhyulOJriuajbw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/fd271b3a
08:11:47.170 [XNIO-1 task-2]  E63X8ahCRhyulOJriuajbw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.170 [XNIO-1 task-2]  E63X8ahCRhyulOJriuajbw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:47.170 [XNIO-1 task-2]  E63X8ahCRhyulOJriuajbw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/fd271b3a
08:11:47.172 [XNIO-1 task-2]  RnSVfB3WSEC136-RHf_Snw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:47.173 [XNIO-1 task-2]  RnSVfB3WSEC136-RHf_Snw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:47.173 [XNIO-1 task-2]  RnSVfB3WSEC136-RHf_Snw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:47.173 [XNIO-1 task-2]  RnSVfB3WSEC136-RHf_Snw DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"f8745a00","serviceName":"610f68a9-312f-4fc3-839b-4f2b3927","serviceDesc":"2efb34a3-b198-4ad7-9246-ecfeb7f386da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"f8745a00","serviceName":"610f68a9-312f-4fc3-839b-4f2b3927","serviceDesc":"2efb34a3-b198-4ad7-9246-ecfeb7f386da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.173 [XNIO-1 task-2]  RnSVfB3WSEC136-RHf_Snw DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"f8745a00","serviceName":"610f68a9-312f-4fc3-839b-4f2b3927","serviceDesc":"2efb34a3-b198-4ad7-9246-ecfeb7f386da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"f8745a00","serviceName":"610f68a9-312f-4fc3-839b-4f2b3927","serviceDesc":"2efb34a3-b198-4ad7-9246-ecfeb7f386da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.173 [XNIO-1 task-2]  RnSVfB3WSEC136-RHf_Snw DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"f8745a00","serviceName":"610f68a9-312f-4fc3-839b-4f2b3927","serviceDesc":"2efb34a3-b198-4ad7-9246-ecfeb7f386da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:47.173 [XNIO-1 task-2]  RnSVfB3WSEC136-RHf_Snw DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"f8745a00","serviceName":"610f68a9-312f-4fc3-839b-4f2b3927","serviceDesc":"2efb34a3-b198-4ad7-9246-ecfeb7f386da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
08:11:47.173 [XNIO-1 task-2]  RnSVfB3WSEC136-RHf_Snw DEBUG com.networknt.schema.TypeValidator debug - validate( "610f68a9-312f-4fc3-839b-4f2b3927", {"serviceType":"swagger","serviceId":"f8745a00","serviceName":"610f68a9-312f-4fc3-839b-4f2b3927","serviceDesc":"2efb34a3-b198-4ad7-9246-ecfeb7f386da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
08:11:47.173 [XNIO-1 task-2]  RnSVfB3WSEC136-RHf_Snw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"f8745a00","serviceName":"610f68a9-312f-4fc3-839b-4f2b3927","serviceDesc":"2efb34a3-b198-4ad7-9246-ecfeb7f386da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"f8745a00","serviceName":"610f68a9-312f-4fc3-839b-4f2b3927","serviceDesc":"2efb34a3-b198-4ad7-9246-ecfeb7f386da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.179 [XNIO-1 task-2]  oF9PbozwTZ6sVwt7jsVdFA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:47.179 [XNIO-1 task-2]  oF9PbozwTZ6sVwt7jsVdFA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:47.180 [XNIO-1 task-2]  oF9PbozwTZ6sVwt7jsVdFA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:47.180 [XNIO-1 task-2]  oF9PbozwTZ6sVwt7jsVdFA DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"695b01dd","serviceName":"060a408e-b747-4be7-bf17-52004a7b","serviceDesc":"53e995e9-b42a-40b1-b812-4fded2714884","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"695b01dd","serviceName":"060a408e-b747-4be7-bf17-52004a7b","serviceDesc":"53e995e9-b42a-40b1-b812-4fded2714884","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.180 [XNIO-1 task-2]  oF9PbozwTZ6sVwt7jsVdFA DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"695b01dd","serviceName":"060a408e-b747-4be7-bf17-52004a7b","serviceDesc":"53e995e9-b42a-40b1-b812-4fded2714884","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"695b01dd","serviceName":"060a408e-b747-4be7-bf17-52004a7b","serviceDesc":"53e995e9-b42a-40b1-b812-4fded2714884","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.180 [XNIO-1 task-2]  oF9PbozwTZ6sVwt7jsVdFA DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"695b01dd","serviceName":"060a408e-b747-4be7-bf17-52004a7b","serviceDesc":"53e995e9-b42a-40b1-b812-4fded2714884","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:47.180 [XNIO-1 task-2]  oF9PbozwTZ6sVwt7jsVdFA DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"695b01dd","serviceName":"060a408e-b747-4be7-bf17-52004a7b","serviceDesc":"53e995e9-b42a-40b1-b812-4fded2714884","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
08:11:47.180 [XNIO-1 task-2]  oF9PbozwTZ6sVwt7jsVdFA DEBUG com.networknt.schema.TypeValidator debug - validate( "060a408e-b747-4be7-bf17-52004a7b", {"serviceType":"swagger","serviceId":"695b01dd","serviceName":"060a408e-b747-4be7-bf17-52004a7b","serviceDesc":"53e995e9-b42a-40b1-b812-4fded2714884","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
08:11:47.180 [XNIO-1 task-2]  oF9PbozwTZ6sVwt7jsVdFA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"695b01dd","serviceName":"060a408e-b747-4be7-bf17-52004a7b","serviceDesc":"53e995e9-b42a-40b1-b812-4fded2714884","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"695b01dd","serviceName":"060a408e-b747-4be7-bf17-52004a7b","serviceDesc":"53e995e9-b42a-40b1-b812-4fded2714884","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.188 [XNIO-1 task-2]  _iUslMFmTMGDgQCqF3ZT-w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/0ea402c4, base path is set to: null
08:11:47.188 [XNIO-1 task-2]  _iUslMFmTMGDgQCqF3ZT-w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:47.189 [XNIO-1 task-2]  _iUslMFmTMGDgQCqF3ZT-w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:47.189 [XNIO-1 task-2]  _iUslMFmTMGDgQCqF3ZT-w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/0ea402c4, base path is set to: null
08:11:47.189 [XNIO-1 task-2]  _iUslMFmTMGDgQCqF3ZT-w DEBUG com.networknt.schema.TypeValidator debug - validate( "0ea402c4", "0ea402c4", serviceId)
08:11:47.191 [XNIO-1 task-2]  DiUAzS5lRMGlPHo_d6mjGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.191 [XNIO-1 task-2]  DiUAzS5lRMGlPHo_d6mjGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.191 [XNIO-1 task-2]  DiUAzS5lRMGlPHo_d6mjGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.191 [XNIO-1 task-2]  DiUAzS5lRMGlPHo_d6mjGA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
08:11:47.196 [XNIO-1 task-2]  RQBHokuTRbeyn-Um0xZj9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.196 [XNIO-1 task-2]  RQBHokuTRbeyn-Um0xZj9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.196 [XNIO-1 task-2]  RQBHokuTRbeyn-Um0xZj9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.197 [XNIO-1 task-2]  RQBHokuTRbeyn-Um0xZj9w DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"fd271b3a","serviceName":"e37f77a0-bf0d-4c96-bc3c-dffe7f94","serviceDesc":"387fa2b0-3ec6-47ef-a564-cca34222b40c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"fd271b3a","serviceName":"e37f77a0-bf0d-4c96-bc3c-dffe7f94","serviceDesc":"387fa2b0-3ec6-47ef-a564-cca34222b40c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.197 [XNIO-1 task-2]  RQBHokuTRbeyn-Um0xZj9w DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"fd271b3a","serviceName":"e37f77a0-bf0d-4c96-bc3c-dffe7f94","serviceDesc":"387fa2b0-3ec6-47ef-a564-cca34222b40c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:47.197 [XNIO-1 task-2]  RQBHokuTRbeyn-Um0xZj9w DEBUG com.networknt.schema.TypeValidator debug - validate( "387fa2b0-3ec6-47ef-a564-cca34222b40c", {"serviceType":"swagger","serviceId":"fd271b3a","serviceName":"e37f77a0-bf0d-4c96-bc3c-dffe7f94","serviceDesc":"387fa2b0-3ec6-47ef-a564-cca34222b40c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
08:11:47.197 [XNIO-1 task-2]  RQBHokuTRbeyn-Um0xZj9w DEBUG com.networknt.schema.TypeValidator debug - validate( "fd271b3a", {"serviceType":"swagger","serviceId":"fd271b3a","serviceName":"e37f77a0-bf0d-4c96-bc3c-dffe7f94","serviceDesc":"387fa2b0-3ec6-47ef-a564-cca34222b40c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
08:11:47.197 [XNIO-1 task-2]  RQBHokuTRbeyn-Um0xZj9w DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"fd271b3a","serviceName":"e37f77a0-bf0d-4c96-bc3c-dffe7f94","serviceDesc":"387fa2b0-3ec6-47ef-a564-cca34222b40c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
08:11:47.197 [XNIO-1 task-2]  RQBHokuTRbeyn-Um0xZj9w DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"fd271b3a","serviceName":"e37f77a0-bf0d-4c96-bc3c-dffe7f94","serviceDesc":"387fa2b0-3ec6-47ef-a564-cca34222b40c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"fd271b3a","serviceName":"e37f77a0-bf0d-4c96-bc3c-dffe7f94","serviceDesc":"387fa2b0-3ec6-47ef-a564-cca34222b40c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.203 [XNIO-1 task-2]  4FRIu7nbTcOAQkILvpc3yQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/0ea402c4
08:11:47.203 [XNIO-1 task-2]  4FRIu7nbTcOAQkILvpc3yQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:47.203 [XNIO-1 task-2]  4FRIu7nbTcOAQkILvpc3yQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:47.203 [XNIO-1 task-2]  4FRIu7nbTcOAQkILvpc3yQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/0ea402c4
08:11:47.205 [XNIO-1 task-2]  0XzZyfFYTSWuG4sFOmcuug DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:47.205 [XNIO-1 task-2]  0XzZyfFYTSWuG4sFOmcuug DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:47.205 [XNIO-1 task-2]  0XzZyfFYTSWuG4sFOmcuug DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:47.211 [XNIO-1 task-2]  ql65flSvSPibb7_R9wJL3Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:47.211 [XNIO-1 task-2]  ql65flSvSPibb7_R9wJL3Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:47.212 [XNIO-1 task-2]  ql65flSvSPibb7_R9wJL3Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:47.212 [XNIO-1 task-2]  ql65flSvSPibb7_R9wJL3Q DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
08:11:47.220 [XNIO-1 task-2]  hUsWOiGoQoOu2eadsSPOMA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:47.220 [XNIO-1 task-2]  hUsWOiGoQoOu2eadsSPOMA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:47.220 [XNIO-1 task-2]  hUsWOiGoQoOu2eadsSPOMA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:47.220 [XNIO-1 task-2]  hUsWOiGoQoOu2eadsSPOMA DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.220 [XNIO-1 task-2]  hUsWOiGoQoOu2eadsSPOMA DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:47.220 [XNIO-1 task-2]  hUsWOiGoQoOu2eadsSPOMA DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"0ea402c4","serviceName":"7a003056-ede9-44f1-9ca7-c9caa125","serviceDesc":"cfb90e9d-ee58-4169-8f30-12f9a78731de","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
