16:29:38.846 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:ff38b92a-ff20-4a28-98f1-e21d718f1a77
16:29:41.153 [XNIO-1 task-2]  yBd5k_STQaaD-EALfQGq3w DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:41.153 [XNIO-1 task-2]  yBd5k_STQaaD-EALfQGq3w DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:29:41.153 [XNIO-1 task-2]  yBd5k_STQaaD-EALfQGq3w DEBUG com.networknt.schema.TypeValidator debug - validate( "8b009d4a-4dac-4f5b-8b00-10305fac", {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:29:41.153 [XNIO-1 task-2]  yBd5k_STQaaD-EALfQGq3w DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.162 [XNIO-1 task-2]  aUjVzDZwTimgV4-4lGr6_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.162 [XNIO-1 task-2]  aUjVzDZwTimgV4-4lGr6_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:41.163 [XNIO-1 task-2]  aUjVzDZwTimgV4-4lGr6_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.164 [XNIO-1 task-2]  aUjVzDZwTimgV4-4lGr6_Q DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.164 [XNIO-1 task-2]  aUjVzDZwTimgV4-4lGr6_Q DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.164 [XNIO-1 task-2]  aUjVzDZwTimgV4-4lGr6_Q DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:41.165 [XNIO-1 task-2]  aUjVzDZwTimgV4-4lGr6_Q DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:29:41.166 [XNIO-1 task-2]  aUjVzDZwTimgV4-4lGr6_Q DEBUG com.networknt.schema.TypeValidator debug - validate( "8b009d4a-4dac-4f5b-8b00-10305fac", {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:29:41.166 [XNIO-1 task-2]  aUjVzDZwTimgV4-4lGr6_Q DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"d8404fa3","serviceName":"8b009d4a-4dac-4f5b-8b00-10305fac","serviceDesc":"55e9a629-3e7d-4ed9-acc1-0d13f1719edc","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.185 [XNIO-1 task-2]  I82gF9t2Q2-mkZ9t3ECySA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.185 [XNIO-1 task-2]  I82gF9t2Q2-mkZ9t3ECySA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:41.186 [XNIO-1 task-2]  I82gF9t2Q2-mkZ9t3ECySA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.215 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:65d8bb21
16:29:41.217 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:65d8bb21
16:29:41.227 [XNIO-1 task-2]  8FZR3bWlSkC7oo87OdBUrQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.230 [XNIO-1 task-2]  8FZR3bWlSkC7oo87OdBUrQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.230 [XNIO-1 task-2]  8FZR3bWlSkC7oo87OdBUrQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.261 [XNIO-1 task-2]  hYb5jSRpTdu86zIasCS1ew DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.262 [XNIO-1 task-2]  hYb5jSRpTdu86zIasCS1ew DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:41.262 [XNIO-1 task-2]  hYb5jSRpTdu86zIasCS1ew DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.272 [hz._hzInstance_1_dev.partition-operation.thread-14]   ERROR c.n.oauth.cache.ClientMapStore delete - Exception:
java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
java.lang.RuntimeException: java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:97)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:19)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeInternal(ClientPreparedStatement.java:955)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1042)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdate(ClientPreparedStatement.java:1027)
	at com.zaxxer.hikari.pool.HikariProxyPreparedStatement.executeUpdate(HikariProxyPreparedStatement.java)
	at com.hazelcast.map.impl.MapStoreWrapper.delete(MapStoreWrapper.java:115)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:28)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.removeRecord(DefaultRecordStore.java:1034)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.delete(DefaultRecordStore.java:455)
	at com.hazelcast.map.impl.operation.DeleteOperation.run(DeleteOperation.java:44)
	at com.hazelcast.spi.Operation.call(Operation.java:170)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.call(OperationRunnerImpl.java:210)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:199)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
	at com.hazelcast.spi.Operation.call(Operation.java:170)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.call(OperationRunnerImpl.java:210)
Caused by: java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:97)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:153)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
	at com.zaxxer.hikari.pool.ProxyPreparedStatement.executeUpdate(ProxyPreparedStatement.java:61)
16:29:41.303 [XNIO-1 task-2]  5IDK1znMRsqCnPcZKr8X8A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.303 [XNIO-1 task-2]  5IDK1znMRsqCnPcZKr8X8A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service

16:29:41.303 [XNIO-1 task-2]  5IDK1znMRsqCnPcZKr8X8A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:41.303 [XNIO-1 task-2]  5IDK1znMRsqCnPcZKr8X8A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.304 [XNIO-1 task-2]  5IDK1znMRsqCnPcZKr8X8A DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:29:41.330 [XNIO-1 task-2]  ZSJT30WmSROj4ZBfInozlw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.330 [XNIO-1 task-2]  ZSJT30WmSROj4ZBfInozlw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:41.331 [XNIO-1 task-2]  ZSJT30WmSROj4ZBfInozlw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.412 [XNIO-1 task-2]  W_kA_2FDR-moiZXTU5zrOg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.412 [XNIO-1 task-2]  W_kA_2FDR-moiZXTU5zrOg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:41.413 [XNIO-1 task-2]  W_kA_2FDR-moiZXTU5zrOg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.414 [XNIO-1 task-2]  W_kA_2FDR-moiZXTU5zrOg DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"a91244d2","serviceName":"ae6e5fe0-7686-437f-823e-1855bd7d","serviceDesc":"8a17e706-d6a1-47a9-8dab-d91eaf7c52e9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a91244d2","serviceName":"ae6e5fe0-7686-437f-823e-1855bd7d","serviceDesc":"8a17e706-d6a1-47a9-8dab-d91eaf7c52e9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.414 [XNIO-1 task-2]  W_kA_2FDR-moiZXTU5zrOg DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"a91244d2","serviceName":"ae6e5fe0-7686-437f-823e-1855bd7d","serviceDesc":"8a17e706-d6a1-47a9-8dab-d91eaf7c52e9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a91244d2","serviceName":"ae6e5fe0-7686-437f-823e-1855bd7d","serviceDesc":"8a17e706-d6a1-47a9-8dab-d91eaf7c52e9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.414 [XNIO-1 task-2]  W_kA_2FDR-moiZXTU5zrOg DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"a91244d2","serviceName":"ae6e5fe0-7686-437f-823e-1855bd7d","serviceDesc":"8a17e706-d6a1-47a9-8dab-d91eaf7c52e9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:41.414 [XNIO-1 task-2]  W_kA_2FDR-moiZXTU5zrOg DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"a91244d2","serviceName":"ae6e5fe0-7686-437f-823e-1855bd7d","serviceDesc":"8a17e706-d6a1-47a9-8dab-d91eaf7c52e9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:29:41.414 [XNIO-1 task-2]  W_kA_2FDR-moiZXTU5zrOg DEBUG com.networknt.schema.TypeValidator debug - validate( "ae6e5fe0-7686-437f-823e-1855bd7d", {"serviceType":"swagger","serviceId":"a91244d2","serviceName":"ae6e5fe0-7686-437f-823e-1855bd7d","serviceDesc":"8a17e706-d6a1-47a9-8dab-d91eaf7c52e9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:29:41.414 [XNIO-1 task-2]  W_kA_2FDR-moiZXTU5zrOg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a91244d2","serviceName":"ae6e5fe0-7686-437f-823e-1855bd7d","serviceDesc":"8a17e706-d6a1-47a9-8dab-d91eaf7c52e9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a91244d2","serviceName":"ae6e5fe0-7686-437f-823e-1855bd7d","serviceDesc":"8a17e706-d6a1-47a9-8dab-d91eaf7c52e9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.438 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:0d2ae751-3aa5-4aae-a5c4-7f2b06734e1b
16:29:41.440 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:0d2ae751-3aa5-4aae-a5c4-7f2b06734e1b
16:29:41.443 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.443 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:41.443 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.444 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:41.445 [hz._hzInstance_1_dev.partition-operation.thread-14]   ERROR c.n.oauth.cache.ClientMapStore delete - Exception:
java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:97)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeInternal(ClientPreparedStatement.java:955)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1042)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeLargeUpdate(ClientPreparedStatement.java:1345)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdate(ClientPreparedStatement.java:1027)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:199)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:33)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
Caused by: java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.removeRecord(DefaultRecordStore.java:1034)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeInternal(ClientPreparedStatement.java:955)
	at com.hazelcast.map.impl.operation.DeleteOperation.run(DeleteOperation.java:44)
	at com.hazelcast.spi.Operation.call(Operation.java:170)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.call(OperationRunnerImpl.java:210)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:153)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
	at com.zaxxer.hikari.pool.ProxyPreparedStatement.executeUpdate(ProxyPreparedStatement.java:61)
16:29:41.447 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.447 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.448 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:41.448 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG com.networknt.schema.TypeValidator debug - validate( "12b101a1-ae56-4470-ac49-3e06b5b42b3b", {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
16:29:41.448 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG com.networknt.schema.TypeValidator debug - validate( "d81b2b65", {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)

16:29:41.448 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG com.networknt.schema.TypeValidator debug - validate( "2b13a91c-d777-4d1a-8f96-148907ce", {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:29:41.448 [XNIO-1 task-2]  LENEM32GQGSPe50nkep4Og DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.467 [XNIO-1 task-2]  lKMdxZlUS5mAvWpNTwOMSw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/a57bf465, base path is set to: null
16:29:41.467 [XNIO-1 task-2]  lKMdxZlUS5mAvWpNTwOMSw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:41.467 [XNIO-1 task-2]  lKMdxZlUS5mAvWpNTwOMSw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:29:41.467 [XNIO-1 task-2]  lKMdxZlUS5mAvWpNTwOMSw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/a57bf465, base path is set to: null
16:29:41.468 [XNIO-1 task-2]  lKMdxZlUS5mAvWpNTwOMSw DEBUG com.networknt.schema.TypeValidator debug - validate( "a57bf465", "a57bf465", serviceId)
16:29:41.484 [XNIO-1 task-2]  LLaRYSn5Q0GJw6AEMix9vA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/d8404fa3
16:29:41.485 [XNIO-1 task-2]  LLaRYSn5Q0GJw6AEMix9vA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.485 [XNIO-1 task-2]  LLaRYSn5Q0GJw6AEMix9vA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:41.485 [XNIO-1 task-2]  LLaRYSn5Q0GJw6AEMix9vA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/d8404fa3
16:29:41.493 [XNIO-1 task-2]  E2RXlBZCTfm_AEqV0DcDnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/8247e476, base path is set to: null
16:29:41.494 [XNIO-1 task-2]  E2RXlBZCTfm_AEqV0DcDnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:41.494 [XNIO-1 task-2]  E2RXlBZCTfm_AEqV0DcDnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:29:41.494 [XNIO-1 task-2]  E2RXlBZCTfm_AEqV0DcDnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/8247e476, base path is set to: null
16:29:41.494 [XNIO-1 task-2]  E2RXlBZCTfm_AEqV0DcDnw DEBUG com.networknt.schema.TypeValidator debug - validate( "8247e476", "8247e476", serviceId)
16:29:41.545 [XNIO-1 task-2]  GJDXvzc-S7GMP4r9msV7Lw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.545 [XNIO-1 task-2]  GJDXvzc-S7GMP4r9msV7Lw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.546 [XNIO-1 task-2]  GJDXvzc-S7GMP4r9msV7Lw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.569 [XNIO-1 task-2]  FSVDNX6gQYKhQHrDjGU0Rw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.569 [XNIO-1 task-2]  FSVDNX6gQYKhQHrDjGU0Rw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.570 [XNIO-1 task-2]  FSVDNX6gQYKhQHrDjGU0Rw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:41.570 [XNIO-1 task-2]  FSVDNX6gQYKhQHrDjGU0Rw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:41.570 [XNIO-1 task-2]  FSVDNX6gQYKhQHrDjGU0Rw DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"d81b2b65","serviceName":"2b13a91c-d777-4d1a-8f96-148907ce","serviceDesc":"12b101a1-ae56-4470-ac49-3e06b5b42b3b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
