16:29:40.148 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:66c2c2bd
16:29:41.942 [XNIO-1 task-1]  joz6sqxNQnmF7bDfjvExig DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.943 [XNIO-1 task-2]  LcwO4TlhRguG2MNld6oScQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.943 [XNIO-1 task-2]  LcwO4TlhRguG2MNld6oScQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.944 [XNIO-1 task-1]  joz6sqxNQnmF7bDfjvExig DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.944 [XNIO-1 task-2]  LcwO4TlhRguG2MNld6oScQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.944 [XNIO-1 task-1]  joz6sqxNQnmF7bDfjvExig DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNjMmY3NjAtZjAwZC00N2U1LTljZmItODA4NmFkNmFlMjRjOmotbU9ONHZBU1BtaF9zeF9oMG5zMVE=", "Basic OTNjMmY3NjAtZjAwZC00N2U1LTljZmItODA4NmFkNmFlMjRjOmotbU9ONHZBU1BtaF9zeF9oMG5zMVE=", authorization)
16:29:41.944 [XNIO-1 task-1]  joz6sqxNQnmF7bDfjvExig DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:41.951 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:6e3a4da3
16:29:41.954 [XNIO-1 task-2]  LcwO4TlhRguG2MNld6oScQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
16:29:41.954 [XNIO-1 task-2]  LcwO4TlhRguG2MNld6oScQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:41.958 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:6e3a4da3
16:29:41.958 [XNIO-1 task-1]  z1D4ym-uQ_q7NbJ0hxjoBw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.959 [XNIO-1 task-1]  z1D4ym-uQ_q7NbJ0hxjoBw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.960 [XNIO-1 task-1]  z1D4ym-uQ_q7NbJ0hxjoBw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.961 [XNIO-1 task-1]  z1D4ym-uQ_q7NbJ0hxjoBw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:41.967 [XNIO-1 task-1]  z1D4ym-uQ_q7NbJ0hxjoBw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:41.983 [XNIO-1 task-1]  cJ7s2Rv3SZ-Yj3mIx1ZKTw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.983 [XNIO-1 task-1]  cJ7s2Rv3SZ-Yj3mIx1ZKTw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.984 [XNIO-1 task-1]  cJ7s2Rv3SZ-Yj3mIx1ZKTw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:41.984 [XNIO-1 task-1]  cJ7s2Rv3SZ-Yj3mIx1ZKTw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:41.989 [XNIO-1 task-1]  cJ7s2Rv3SZ-Yj3mIx1ZKTw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.001 [XNIO-1 task-1]  8AA8qZGTR260lEuNxXEggA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.001 [XNIO-1 task-1]  8AA8qZGTR260lEuNxXEggA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.002 [XNIO-1 task-1]  8AA8qZGTR260lEuNxXEggA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.002 [XNIO-1 task-1]  8AA8qZGTR260lEuNxXEggA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.008 [XNIO-1 task-1]  8AA8qZGTR260lEuNxXEggA INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.017 [XNIO-1 task-1]  sS3tVTgPSJ-e3MIDsjXB3g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.017 [XNIO-1 task-1]  sS3tVTgPSJ-e3MIDsjXB3g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.017 [XNIO-1 task-1]  sS3tVTgPSJ-e3MIDsjXB3g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.018 [XNIO-1 task-1]  sS3tVTgPSJ-e3MIDsjXB3g DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.023 [XNIO-1 task-1]  sS3tVTgPSJ-e3MIDsjXB3g INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.030 [XNIO-1 task-1]  2ic2UN3-QseXtf6XIOPBKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.031 [XNIO-1 task-1]  2ic2UN3-QseXtf6XIOPBKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.032 [XNIO-1 task-1]  2ic2UN3-QseXtf6XIOPBKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.033 [XNIO-1 task-1]  2ic2UN3-QseXtf6XIOPBKQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.041 [XNIO-1 task-1]  2ic2UN3-QseXtf6XIOPBKQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.048 [XNIO-1 task-1]  rslIze7qSo-yAGuclCyuNw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.049 [XNIO-1 task-1]  rslIze7qSo-yAGuclCyuNw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.049 [XNIO-1 task-1]  rslIze7qSo-yAGuclCyuNw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.050 [XNIO-1 task-1]  rslIze7qSo-yAGuclCyuNw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Yjk2NDhlN2ItZmQ1My00Y2UwLThhYzQtOGM0ZDFlMDZhMjZlOl8ycDBaaUNHVHg2SHpqQzluMTBVOHc=", "Basic Yjk2NDhlN2ItZmQ1My00Y2UwLThhYzQtOGM0ZDFlMDZhMjZlOl8ycDBaaUNHVHg2SHpqQzluMTBVOHc=", authorization)
16:29:42.060 [XNIO-1 task-1]  rslIze7qSo-yAGuclCyuNw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:42.063 [XNIO-1 task-2]  nCVpmzbcRoOTqsdiHy3skQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.063 [XNIO-1 task-2]  nCVpmzbcRoOTqsdiHy3skQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.064 [XNIO-1 task-2]  nCVpmzbcRoOTqsdiHy3skQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.065 [XNIO-1 task-2]  nCVpmzbcRoOTqsdiHy3skQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic ZmYzOGI5MmEtZmYyMC00YTI4LTk4ZjEtZTIxZDcxOGYxYTc3OjBGeU9pZzFmVDdlOUNaQnJHMlVjQ1E=", "Basic ZmYzOGI5MmEtZmYyMC00YTI4LTk4ZjEtZTIxZDcxOGYxYTc3OjBGeU9pZzFmVDdlOUNaQnJHMlVjQ1E=", authorization)
16:29:42.065 [XNIO-1 task-4]  2DxPV104RKylxBBWoQ170Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.065 [XNIO-1 task-4]  2DxPV104RKylxBBWoQ170Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.067 [XNIO-1 task-4]  2DxPV104RKylxBBWoQ170Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.067 [XNIO-1 task-4]  2DxPV104RKylxBBWoQ170Q DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDg0ZTNiNDctYjdhYS00OGIyLTk5NDktOWNhYmFhODM4NzYxOmpnVzhlVUVDVDl1Y2pEc2dCNi1IM0E=", "Basic MDg0ZTNiNDctYjdhYS00OGIyLTk5NDktOWNhYmFhODM4NzYxOmpnVzhlVUVDVDl1Y2pEc2dCNi1IM0E=", authorization)
16:29:42.071 [XNIO-1 task-1]  lOqKV9SKR7-UnbJ0PbneiQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.071 [XNIO-1 task-1]  lOqKV9SKR7-UnbJ0PbneiQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.072 [XNIO-1 task-1]  lOqKV9SKR7-UnbJ0PbneiQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.072 [XNIO-1 task-1]  lOqKV9SKR7-UnbJ0PbneiQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic N2ExYTJiMDktZjQzNS00ZjZlLThmYWEtMGQ4MzI2YTQ1MmRmOnZ2b0Q3MkhtUm1XODlscWRnVmlWT3c=", "Basic N2ExYTJiMDktZjQzNS00ZjZlLThmYWEtMGQ4MzI2YTQ1MmRmOnZ2b0Q3MkhtUm1XODlscWRnVmlWT3c=", authorization)
16:29:42.073 [XNIO-1 task-2]  nCVpmzbcRoOTqsdiHy3skQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
16:29:42.074 [XNIO-1 task-2]  nCVpmzbcRoOTqsdiHy3skQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.078 [XNIO-1 task-4]  2DxPV104RKylxBBWoQ170Q DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:42.083 [XNIO-1 task-1]  lOqKV9SKR7-UnbJ0PbneiQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:42.095 [XNIO-1 task-4]  F52tmrv2RiGmsWEAxZc3zA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.095 [XNIO-1 task-4]  F52tmrv2RiGmsWEAxZc3zA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.095 [XNIO-1 task-4]  F52tmrv2RiGmsWEAxZc3zA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.096 [XNIO-1 task-4]  F52tmrv2RiGmsWEAxZc3zA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic N2ExYTJiMDktZjQzNS00ZjZlLThmYWEtMGQ4MzI2YTQ1MmRmOnZ2b0Q3MkhtUm1XODlscWRnVmlWT3c=", "Basic N2ExYTJiMDktZjQzNS00ZjZlLThmYWEtMGQ4MzI2YTQ1MmRmOnZ2b0Q3MkhtUm1XODlscWRnVmlWT3c=", authorization)
16:29:42.101 [XNIO-1 task-4]  F52tmrv2RiGmsWEAxZc3zA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:42.107 [XNIO-1 task-4]  xBDxZDpTRuG_7R77hdPx6g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.107 [XNIO-1 task-4]  xBDxZDpTRuG_7R77hdPx6g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.108 [XNIO-1 task-4]  xBDxZDpTRuG_7R77hdPx6g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.108 [XNIO-1 task-4]  xBDxZDpTRuG_7R77hdPx6g DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", authorization)
16:29:42.114 [XNIO-1 task-1]  UiPMBI6ZS0e_DBbB7TwNBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.114 [XNIO-1 task-1]  UiPMBI6ZS0e_DBbB7TwNBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.114 [XNIO-1 task-1]  UiPMBI6ZS0e_DBbB7TwNBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.114 [XNIO-1 task-4]  xBDxZDpTRuG_7R77hdPx6g DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:42.115 [XNIO-1 task-1]  UiPMBI6ZS0e_DBbB7TwNBw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDg0ZTNiNDctYjdhYS00OGIyLTk5NDktOWNhYmFhODM4NzYxOmpnVzhlVUVDVDl1Y2pEc2dCNi1IM0E=", "Basic MDg0ZTNiNDctYjdhYS00OGIyLTk5NDktOWNhYmFhODM4NzYxOmpnVzhlVUVDVDl1Y2pEc2dCNi1IM0E=", authorization)
16:29:42.120 [XNIO-1 task-4]  22uU6kUdRmy-FMTE9Mp0Hw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.120 [XNIO-1 task-4]  22uU6kUdRmy-FMTE9Mp0Hw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.120 [XNIO-1 task-4]  22uU6kUdRmy-FMTE9Mp0Hw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.121 [XNIO-1 task-4]  22uU6kUdRmy-FMTE9Mp0Hw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", authorization)
16:29:42.125 [XNIO-1 task-1]  UiPMBI6ZS0e_DBbB7TwNBw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
16:29:42.125 [XNIO-1 task-1]  UiPMBI6ZS0e_DBbB7TwNBw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.126 [XNIO-1 task-4]  22uU6kUdRmy-FMTE9Mp0Hw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.131 [XNIO-1 task-4]  Tv6zfMYCRjO99TA9ZJZ6Dg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.131 [XNIO-1 task-4]  Tv6zfMYCRjO99TA9ZJZ6Dg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.132 [XNIO-1 task-4]  Tv6zfMYCRjO99TA9ZJZ6Dg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.132 [XNIO-1 task-4]  Tv6zfMYCRjO99TA9ZJZ6Dg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.137 [XNIO-1 task-4]  Tv6zfMYCRjO99TA9ZJZ6Dg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.159 [XNIO-1 task-4]  sdpmgMcmRiWinGs9yeI6UQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.159 [XNIO-1 task-4]  sdpmgMcmRiWinGs9yeI6UQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.160 [XNIO-1 task-4]  sdpmgMcmRiWinGs9yeI6UQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.162 [XNIO-1 task-4]  sdpmgMcmRiWinGs9yeI6UQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.168 [XNIO-1 task-4]  sdpmgMcmRiWinGs9yeI6UQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.178 [XNIO-1 task-4]  fFxBVCF0QEOD40Jsugw3OQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.178 [XNIO-1 task-4]  fFxBVCF0QEOD40Jsugw3OQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.178 [XNIO-1 task-4]  fFxBVCF0QEOD40Jsugw3OQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.179 [XNIO-1 task-4]  fFxBVCF0QEOD40Jsugw3OQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.181 [XNIO-1 task-2]  II5bfuwjQRG7LuOEAYDxug DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.181 [XNIO-1 task-2]  II5bfuwjQRG7LuOEAYDxug DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.181 [XNIO-1 task-2]  II5bfuwjQRG7LuOEAYDxug DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.181 [XNIO-1 task-1]  zt-xK4uYS8Wd9_EZCzG8Zg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.181 [XNIO-1 task-1]  zt-xK4uYS8Wd9_EZCzG8Zg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.181 [XNIO-1 task-1]  zt-xK4uYS8Wd9_EZCzG8Zg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.182 [XNIO-1 task-2]  II5bfuwjQRG7LuOEAYDxug DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NzQwZDVhMTAtYmFlNy00ZWIyLWE3Y2QtNDlkMzQzZDg0YmZhOmZYZFl6VF9HUnZDblJsOFZDbk5CbUE=", "Basic NzQwZDVhMTAtYmFlNy00ZWIyLWE3Y2QtNDlkMzQzZDg0YmZhOmZYZFl6VF9HUnZDblJsOFZDbk5CbUE=", authorization)
16:29:42.182 [XNIO-1 task-2]  II5bfuwjQRG7LuOEAYDxug DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = IdrOOp-pRUmUbQ7Gq106Qw redirectUri = http://localhost:8080/authorization
16:29:42.188 [XNIO-1 task-4]  fFxBVCF0QEOD40Jsugw3OQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.191 [XNIO-1 task-2]  II5bfuwjQRG7LuOEAYDxug DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:42.192 [XNIO-1 task-1]  zt-xK4uYS8Wd9_EZCzG8Zg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
16:29:42.193 [XNIO-1 task-1]  zt-xK4uYS8Wd9_EZCzG8Zg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.196 [XNIO-1 task-4]  gvc89hVhRUKqahP17jxqkQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.196 [XNIO-1 task-4]  gvc89hVhRUKqahP17jxqkQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.197 [XNIO-1 task-4]  gvc89hVhRUKqahP17jxqkQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.199 [XNIO-1 task-4]  gvc89hVhRUKqahP17jxqkQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.209 [XNIO-1 task-1]  Aq6gFd-fRQC3IetRXzc8eQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.209 [XNIO-1 task-1]  Aq6gFd-fRQC3IetRXzc8eQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.210 [XNIO-1 task-1]  Aq6gFd-fRQC3IetRXzc8eQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:42.210 [XNIO-1 task-1]  Aq6gFd-fRQC3IetRXzc8eQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NTZkYjI1NDUtNTYwMy00ZDljLWI3ZDctYzljZDIxODI5MzMxOlJVNlcxWmdaVFJxb1dfcTFpT3l4RVE=", "Basic NTZkYjI1NDUtNTYwMy00ZDljLWI3ZDctYzljZDIxODI5MzMxOlJVNlcxWmdaVFJxb1dfcTFpT3l4RVE=", authorization)
16:29:42.215 [XNIO-1 task-4]  gvc89hVhRUKqahP17jxqkQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.220 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:a91244d2
16:29:42.221 [XNIO-1 task-4]  zDAJ9UkRRiOxWQlGADEsFw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.221 [XNIO-1 task-1]  Aq6gFd-fRQC3IetRXzc8eQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.224 [XNIO-1 task-4]  zDAJ9UkRRiOxWQlGADEsFw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.224 [XNIO-1 task-4]  zDAJ9UkRRiOxWQlGADEsFw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.225 [XNIO-1 task-4]  zDAJ9UkRRiOxWQlGADEsFw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.230 [XNIO-1 task-4]  zDAJ9UkRRiOxWQlGADEsFw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.236 [XNIO-1 task-4]  aLO-fd_VRDWhD1nUN1zy0g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.237 [XNIO-1 task-4]  aLO-fd_VRDWhD1nUN1zy0g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.251 [XNIO-1 task-4]  aLO-fd_VRDWhD1nUN1zy0g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.252 [XNIO-1 task-4]  aLO-fd_VRDWhD1nUN1zy0g DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.257 [XNIO-1 task-4]  aLO-fd_VRDWhD1nUN1zy0g INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.263 [XNIO-1 task-4]  bhjZ2iCFROqZ9bHXiF5ziQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.263 [XNIO-1 task-4]  bhjZ2iCFROqZ9bHXiF5ziQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.263 [XNIO-1 task-4]  bhjZ2iCFROqZ9bHXiF5ziQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.264 [XNIO-1 task-4]  bhjZ2iCFROqZ9bHXiF5ziQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.272 [XNIO-1 task-4]  bhjZ2iCFROqZ9bHXiF5ziQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:42.281 [XNIO-1 task-4]  AWVpmcl2QoCXoToBFbPjjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.281 [XNIO-1 task-4]  AWVpmcl2QoCXoToBFbPjjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.281 [XNIO-1 task-4]  AWVpmcl2QoCXoToBFbPjjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.281 [XNIO-1 task-2]  BnWZzXwpRYqRz2qk5Ev-jg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.282 [XNIO-1 task-2]  BnWZzXwpRYqRz2qk5Ev-jg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:42.282 [XNIO-1 task-4]  AWVpmcl2QoCXoToBFbPjjw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = CLfjDrYLRMSv8jIp_1IMCw redirectUri = http://localhost:8080/authorization
16:29:42.282 [XNIO-1 task-2]  BnWZzXwpRYqRz2qk5Ev-jg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.282 [XNIO-1 task-2]  BnWZzXwpRYqRz2qk5Ev-jg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:42.282 [XNIO-1 task-1]  0d3-4uTWSAue0zjO1xb0kg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.282 [XNIO-1 task-1]  0d3-4uTWSAue0zjO1xb0kg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.283 [XNIO-1 task-1]  0d3-4uTWSAue0zjO1xb0kg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:42.283 [XNIO-1 task-1]  0d3-4uTWSAue0zjO1xb0kg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = b8sDcWXDQd-Jo7lf39gVTw redirectUri = http://localhost:8080/authorization
