07:00:39.862 [XNIO-1 task-1]  IVjgpRcpS0uPIqi1rvEOyQ DEBUG com.networknt.schema.TypeValidator debug - validate( "b2d764de", "b2d764de", serviceId)
07:00:42.869 [XNIO-1 task-1]  QI5UIijrQhSOAw5-lQTUtw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/8a6bd883, base path is set to: null
07:00:42.875 [XNIO-1 task-1]  QI5UIijrQhSOAw5-lQTUtw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:42.875 [XNIO-1 task-1]  QI5UIijrQhSOAw5-lQTUtw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
07:00:42.875 [XNIO-1 task-1]  QI5UIijrQhSOAw5-lQTUtw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/8a6bd883, base path is set to: null
07:00:42.876 [XNIO-1 task-1]  QI5UIijrQhSOAw5-lQTUtw DEBUG com.networknt.schema.TypeValidator debug - validate( "8a6bd883", "8a6bd883", serviceId)
07:00:42.892 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:c1140bdb
07:00:42.897 [XNIO-1 task-1]  g0-4xh_mShOmONjOU0tnOA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/771601b5
07:00:42.897 [XNIO-1 task-1]  g0-4xh_mShOmONjOU0tnOA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:42.897 [XNIO-1 task-1]  g0-4xh_mShOmONjOU0tnOA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:42.898 [XNIO-1 task-1]  g0-4xh_mShOmONjOU0tnOA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/771601b5
07:00:42.904 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:08cd00bc-23c7-4cfe-891f-b260e9761905
07:00:42.908 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:c1140bdb
07:00:42.919 [XNIO-1 task-1]  tqrhqeBzQMGuQJUvN3inqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:42.919 [XNIO-1 task-1]  tqrhqeBzQMGuQJUvN3inqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:42.919 [XNIO-1 task-1]  tqrhqeBzQMGuQJUvN3inqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:42.920 [XNIO-1 task-1]  tqrhqeBzQMGuQJUvN3inqA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"20a7b66b","serviceName":"8219cd31-e4ee-40e7-bc99-7aafaead","serviceDesc":"18669abc-9b01-4497-bfaa-f81727e18b52","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"20a7b66b","serviceName":"8219cd31-e4ee-40e7-bc99-7aafaead","serviceDesc":"18669abc-9b01-4497-bfaa-f81727e18b52","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:42.920 [XNIO-1 task-1]  tqrhqeBzQMGuQJUvN3inqA DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"20a7b66b","serviceName":"8219cd31-e4ee-40e7-bc99-7aafaead","serviceDesc":"18669abc-9b01-4497-bfaa-f81727e18b52","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
07:00:42.920 [XNIO-1 task-1]  tqrhqeBzQMGuQJUvN3inqA DEBUG com.networknt.schema.TypeValidator debug - validate( "18669abc-9b01-4497-bfaa-f81727e18b52", {"serviceType":"swagger","serviceId":"20a7b66b","serviceName":"8219cd31-e4ee-40e7-bc99-7aafaead","serviceDesc":"18669abc-9b01-4497-bfaa-f81727e18b52","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
07:00:42.920 [XNIO-1 task-1]  tqrhqeBzQMGuQJUvN3inqA DEBUG com.networknt.schema.TypeValidator debug - validate( "20a7b66b", {"serviceType":"swagger","serviceId":"20a7b66b","serviceName":"8219cd31-e4ee-40e7-bc99-7aafaead","serviceDesc":"18669abc-9b01-4497-bfaa-f81727e18b52","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
07:00:42.920 [XNIO-1 task-1]  tqrhqeBzQMGuQJUvN3inqA DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"20a7b66b","serviceName":"8219cd31-e4ee-40e7-bc99-7aafaead","serviceDesc":"18669abc-9b01-4497-bfaa-f81727e18b52","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
07:00:42.922 [XNIO-1 task-1]  tqrhqeBzQMGuQJUvN3inqA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"20a7b66b","serviceName":"8219cd31-e4ee-40e7-bc99-7aafaead","serviceDesc":"18669abc-9b01-4497-bfaa-f81727e18b52","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"20a7b66b","serviceName":"8219cd31-e4ee-40e7-bc99-7aafaead","serviceDesc":"18669abc-9b01-4497-bfaa-f81727e18b52","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:42.936 [XNIO-1 task-1]  3G-CERVyRCqBIJ4GPs2w5A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/20a7b66b
07:00:42.936 [XNIO-1 task-1]  3G-CERVyRCqBIJ4GPs2w5A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:42.936 [XNIO-1 task-1]  3G-CERVyRCqBIJ4GPs2w5A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:42.936 [XNIO-1 task-1]  3G-CERVyRCqBIJ4GPs2w5A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/20a7b66b
07:00:42.950 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.networknt.oauth.cache.UserMapStore delete - Delete:c1140bdb
07:00:42.954 [XNIO-1 task-1]  Hk7A48IJSsCRdZ8DXtBGew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:42.954 [XNIO-1 task-1]  Hk7A48IJSsCRdZ8DXtBGew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:42.955 [XNIO-1 task-1]  Hk7A48IJSsCRdZ8DXtBGew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:42.977 [XNIO-1 task-1]  1CBykqZkSSapo-CzPNCjMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/04abed33
07:00:42.977 [XNIO-1 task-1]  1CBykqZkSSapo-CzPNCjMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:42.979 [XNIO-1 task-1]  1CBykqZkSSapo-CzPNCjMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:42.980 [XNIO-1 task-1]  1CBykqZkSSapo-CzPNCjMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/04abed33
07:00:42.992 [XNIO-1 task-1]  Ww4hp3TnRs6qVGDPpPAUqw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:42.993 [XNIO-1 task-1]  Ww4hp3TnRs6qVGDPpPAUqw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:42.993 [XNIO-1 task-1]  Ww4hp3TnRs6qVGDPpPAUqw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.008 [XNIO-1 task-1]  BPclaG-BT0Sht3WW_abs9g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/baafd9ff, base path is set to: null
07:00:43.008 [XNIO-1 task-1]  BPclaG-BT0Sht3WW_abs9g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.008 [XNIO-1 task-1]  BPclaG-BT0Sht3WW_abs9g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
07:00:43.008 [XNIO-1 task-1]  BPclaG-BT0Sht3WW_abs9g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/baafd9ff, base path is set to: null
07:00:43.009 [XNIO-1 task-1]  BPclaG-BT0Sht3WW_abs9g DEBUG com.networknt.schema.TypeValidator debug - validate( "baafd9ff", "baafd9ff", serviceId)
07:00:43.018 [XNIO-1 task-1]  qLOGfAO0Qpen4swdhF8d8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/baafd9ff
07:00:43.018 [XNIO-1 task-1]  qLOGfAO0Qpen4swdhF8d8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:43.019 [XNIO-1 task-1]  qLOGfAO0Qpen4swdhF8d8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:43.019 [XNIO-1 task-1]  qLOGfAO0Qpen4swdhF8d8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/baafd9ff
07:00:43.031 [XNIO-1 task-1]  rf4t8dRzRQy7qypF9FWlKg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.031 [XNIO-1 task-1]  rf4t8dRzRQy7qypF9FWlKg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.031 [XNIO-1 task-1]  rf4t8dRzRQy7qypF9FWlKg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.069 [XNIO-1 task-1]  SniDjlzcScOP5nabJXg_bA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/af6de373, base path is set to: null
07:00:43.069 [XNIO-1 task-1]  SniDjlzcScOP5nabJXg_bA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.069 [XNIO-1 task-1]  SniDjlzcScOP5nabJXg_bA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
07:00:43.069 [XNIO-1 task-1]  SniDjlzcScOP5nabJXg_bA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/af6de373, base path is set to: null
07:00:43.070 [XNIO-1 task-1]  SniDjlzcScOP5nabJXg_bA DEBUG com.networknt.schema.TypeValidator debug - validate( "af6de373", "af6de373", serviceId)
07:00:43.074 [XNIO-1 task-1]  C8M57rJZRmaOtICE5xyw3A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:43.074 [XNIO-1 task-1]  C8M57rJZRmaOtICE5xyw3A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:43.075 [XNIO-1 task-1]  C8M57rJZRmaOtICE5xyw3A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:43.129 [XNIO-1 task-1]  iR1SkImTTHq3a0SPH8IncA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/af6de373
07:00:43.129 [XNIO-1 task-1]  iR1SkImTTHq3a0SPH8IncA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:43.129 [XNIO-1 task-1]  iR1SkImTTHq3a0SPH8IncA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:43.130 [XNIO-1 task-1]  iR1SkImTTHq3a0SPH8IncA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/af6de373
07:00:43.163 [XNIO-1 task-1]  hV7isG3-Txynh7GBpR2eRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.163 [XNIO-1 task-1]  hV7isG3-Txynh7GBpR2eRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.164 [XNIO-1 task-1]  hV7isG3-Txynh7GBpR2eRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.171 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:bdbf87ee-b4b4-4043-99f6-230f5ad7f94f
07:00:43.226 [XNIO-1 task-1]  ztnVSSN_RfygxYs_CEZ4rg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.226 [XNIO-1 task-1]  ztnVSSN_RfygxYs_CEZ4rg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.227 [XNIO-1 task-1]  ztnVSSN_RfygxYs_CEZ4rg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.228 [XNIO-1 task-1]  ztnVSSN_RfygxYs_CEZ4rg DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:43.228 [XNIO-1 task-1]  ztnVSSN_RfygxYs_CEZ4rg DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:43.228 [XNIO-1 task-1]  ztnVSSN_RfygxYs_CEZ4rg DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
07:00:43.228 [XNIO-1 task-1]  ztnVSSN_RfygxYs_CEZ4rg DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
07:00:43.228 [XNIO-1 task-1]  ztnVSSN_RfygxYs_CEZ4rg DEBUG com.networknt.schema.TypeValidator debug - validate( "3684e824-0306-4aa0-869a-868862a6", {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
07:00:43.228 [XNIO-1 task-1]  ztnVSSN_RfygxYs_CEZ4rg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:43.245 [XNIO-1 task-1]  a-OuDjG3TaG7X3z0CYFKZw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.245 [XNIO-1 task-1]  a-OuDjG3TaG7X3z0CYFKZw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.245 [XNIO-1 task-1]  a-OuDjG3TaG7X3z0CYFKZw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.266 [XNIO-1 task-1]  jJQpNRG2T0KvtXyOh5Szvw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.266 [XNIO-1 task-1]  jJQpNRG2T0KvtXyOh5Szvw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.266 [XNIO-1 task-1]  jJQpNRG2T0KvtXyOh5Szvw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.267 [XNIO-1 task-1]  jJQpNRG2T0KvtXyOh5Szvw DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:43.267 [XNIO-1 task-1]  jJQpNRG2T0KvtXyOh5Szvw DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:43.267 [XNIO-1 task-1]  jJQpNRG2T0KvtXyOh5Szvw DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
07:00:43.267 [XNIO-1 task-1]  jJQpNRG2T0KvtXyOh5Szvw DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
07:00:43.267 [XNIO-1 task-1]  jJQpNRG2T0KvtXyOh5Szvw DEBUG com.networknt.schema.TypeValidator debug - validate( "3684e824-0306-4aa0-869a-868862a6", {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
07:00:43.268 [XNIO-1 task-1]  jJQpNRG2T0KvtXyOh5Szvw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"6aad93e4","serviceName":"3684e824-0306-4aa0-869a-868862a6","serviceDesc":"6dce3107-5ce2-4ca0-9d76-270c8b4e2e8b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:43.299 [XNIO-1 task-1]  EwPXJFD6Srq5UcWDJitA_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.299 [XNIO-1 task-1]  EwPXJFD6Srq5UcWDJitA_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.300 [XNIO-1 task-1]  EwPXJFD6Srq5UcWDJitA_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.314 [XNIO-1 task-1]  b06_RaPfQ1KCjWDExesLBg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.314 [XNIO-1 task-1]  b06_RaPfQ1KCjWDExesLBg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.314 [XNIO-1 task-1]  b06_RaPfQ1KCjWDExesLBg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.350 [XNIO-1 task-1]  USLerdG_QEChswDSAHdWOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.350 [XNIO-1 task-1]  USLerdG_QEChswDSAHdWOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.351 [XNIO-1 task-1]  USLerdG_QEChswDSAHdWOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.351 [XNIO-1 task-1]  USLerdG_QEChswDSAHdWOQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
07:00:43.362 [XNIO-1 task-1]  AkM1BoUPRsmzKYTEjy59UQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.362 [XNIO-1 task-1]  AkM1BoUPRsmzKYTEjy59UQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.362 [XNIO-1 task-1]  AkM1BoUPRsmzKYTEjy59UQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.377 [XNIO-1 task-1]  _Mbs3Dd-Qi2FH5LoR650Hg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.377 [XNIO-1 task-1]  _Mbs3Dd-Qi2FH5LoR650Hg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.378 [XNIO-1 task-1]  _Mbs3Dd-Qi2FH5LoR650Hg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.378 [XNIO-1 task-1]  _Mbs3Dd-Qi2FH5LoR650Hg DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"2aa0fefd","serviceName":"961290a4-bd24-4617-a93e-32dcbf4e","serviceDesc":"2e2a0e4f-6703-48c6-8685-787fe357d6dd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"2aa0fefd","serviceName":"961290a4-bd24-4617-a93e-32dcbf4e","serviceDesc":"2e2a0e4f-6703-48c6-8685-787fe357d6dd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:43.378 [XNIO-1 task-1]  _Mbs3Dd-Qi2FH5LoR650Hg DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"2aa0fefd","serviceName":"961290a4-bd24-4617-a93e-32dcbf4e","serviceDesc":"2e2a0e4f-6703-48c6-8685-787fe357d6dd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"2aa0fefd","serviceName":"961290a4-bd24-4617-a93e-32dcbf4e","serviceDesc":"2e2a0e4f-6703-48c6-8685-787fe357d6dd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:43.378 [XNIO-1 task-1]  _Mbs3Dd-Qi2FH5LoR650Hg DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"2aa0fefd","serviceName":"961290a4-bd24-4617-a93e-32dcbf4e","serviceDesc":"2e2a0e4f-6703-48c6-8685-787fe357d6dd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
07:00:43.378 [XNIO-1 task-1]  _Mbs3Dd-Qi2FH5LoR650Hg DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"2aa0fefd","serviceName":"961290a4-bd24-4617-a93e-32dcbf4e","serviceDesc":"2e2a0e4f-6703-48c6-8685-787fe357d6dd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
07:00:43.379 [XNIO-1 task-1]  _Mbs3Dd-Qi2FH5LoR650Hg DEBUG com.networknt.schema.TypeValidator debug - validate( "961290a4-bd24-4617-a93e-32dcbf4e", {"serviceType":"swagger","serviceId":"2aa0fefd","serviceName":"961290a4-bd24-4617-a93e-32dcbf4e","serviceDesc":"2e2a0e4f-6703-48c6-8685-787fe357d6dd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
07:00:43.379 [XNIO-1 task-1]  _Mbs3Dd-Qi2FH5LoR650Hg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"2aa0fefd","serviceName":"961290a4-bd24-4617-a93e-32dcbf4e","serviceDesc":"2e2a0e4f-6703-48c6-8685-787fe357d6dd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"2aa0fefd","serviceName":"961290a4-bd24-4617-a93e-32dcbf4e","serviceDesc":"2e2a0e4f-6703-48c6-8685-787fe357d6dd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:43.390 [XNIO-1 task-1]  uGGnKtMxSPiVXkqVBp7ETw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.390 [XNIO-1 task-1]  uGGnKtMxSPiVXkqVBp7ETw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.391 [XNIO-1 task-1]  uGGnKtMxSPiVXkqVBp7ETw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.391 [XNIO-1 task-1]  uGGnKtMxSPiVXkqVBp7ETw DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
07:00:43.415 [XNIO-1 task-1]  jsYUiBJjRxy2jNaZuzu4jw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.415 [XNIO-1 task-1]  jsYUiBJjRxy2jNaZuzu4jw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:43.415 [XNIO-1 task-1]  jsYUiBJjRxy2jNaZuzu4jw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:43.426 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:b9634ddb-a3e5-4148-9020-a127f1093738
