16:40:09.861 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:7134a462
16:40:10.835 [XNIO-1 task-1]  Qq5ap7_8T-KWX_n9wCuEeg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/4ee942b9
16:40:10.835 [XNIO-1 task-1]  Qq5ap7_8T-KWX_n9wCuEeg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.835 [XNIO-1 task-1]  Qq5ap7_8T-KWX_n9wCuEeg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:10.835 [XNIO-1 task-1]  Qq5ap7_8T-KWX_n9wCuEeg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/4ee942b9
16:40:10.846 [XNIO-1 task-1]  xvVjjUDbSgyHew5trtRa2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.846 [XNIO-1 task-1]  xvVjjUDbSgyHew5trtRa2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.846 [XNIO-1 task-1]  xvVjjUDbSgyHew5trtRa2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.846 [XNIO-1 task-1]  xvVjjUDbSgyHew5trtRa2Q DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:10.899 [XNIO-1 task-1]  Tph66tq1T8G4XIsWyiNkMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/a54b5d24, base path is set to: null
16:40:10.899 [XNIO-1 task-1]  Tph66tq1T8G4XIsWyiNkMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.899 [XNIO-1 task-1]  Tph66tq1T8G4XIsWyiNkMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
16:40:10.899 [XNIO-1 task-1]  Tph66tq1T8G4XIsWyiNkMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/a54b5d24, base path is set to: null
16:40:10.899 [XNIO-1 task-1]  Tph66tq1T8G4XIsWyiNkMQ DEBUG com.networknt.schema.TypeValidator debug - validate( "a54b5d24", "a54b5d24", userId)
16:40:10.903 [XNIO-1 task-1]  sVh25ZCWTyeVoES376RWFg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.903 [XNIO-1 task-1]  sVh25ZCWTyeVoES376RWFg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.903 [XNIO-1 task-1]  sVh25ZCWTyeVoES376RWFg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.910 [XNIO-1 task-1]  b3FGwHa9RF21kjSuWIrYnQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.910 [XNIO-1 task-1]  b3FGwHa9RF21kjSuWIrYnQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.910 [XNIO-1 task-1]  b3FGwHa9RF21kjSuWIrYnQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.916 [XNIO-1 task-1]  3ISFJFETQCOcoQtAhOVWMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/a54b5d24
16:40:10.916 [XNIO-1 task-1]  3ISFJFETQCOcoQtAhOVWMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.916 [XNIO-1 task-1]  3ISFJFETQCOcoQtAhOVWMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:10.916 [XNIO-1 task-1]  3ISFJFETQCOcoQtAhOVWMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/a54b5d24
16:40:10.919 [XNIO-1 task-1]  bLk4YPQhQzWV7MgxsLhbXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.919 [XNIO-1 task-1]  bLk4YPQhQzWV7MgxsLhbXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.919 [XNIO-1 task-1]  bLk4YPQhQzWV7MgxsLhbXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.936 [XNIO-1 task-1]  BQCK6Qf5Tau53PiX6ErrDQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.936 [XNIO-1 task-1]  BQCK6Qf5Tau53PiX6ErrDQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.936 [XNIO-1 task-1]  BQCK6Qf5Tau53PiX6ErrDQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.936 [XNIO-1 task-1]  BQCK6Qf5Tau53PiX6ErrDQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:10.941 [XNIO-1 task-1]  vHu9VUtjTBCez5LPlW1z4g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/412bcf0e, base path is set to: null
16:40:10.941 [XNIO-1 task-1]  vHu9VUtjTBCez5LPlW1z4g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.941 [XNIO-1 task-1]  vHu9VUtjTBCez5LPlW1z4g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
16:40:10.941 [XNIO-1 task-1]  vHu9VUtjTBCez5LPlW1z4g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
16:40:10.941 [XNIO-1 task-1]  vHu9VUtjTBCez5LPlW1z4g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/412bcf0e, base path is set to: null
16:40:10.941 [XNIO-1 task-1]  vHu9VUtjTBCez5LPlW1z4g DEBUG com.networknt.schema.TypeValidator debug - validate( "412bcf0e", "412bcf0e", userId)
16:40:10.941 [XNIO-1 task-1]  vHu9VUtjTBCez5LPlW1z4g DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"00a08077-739f-42fe-97c6-b42bf97e9d80","newPassword":"691ac8b1-4cc6-4bd0-ab12-771ea5984cfe","newPasswordConfirm":"691ac8b1-4cc6-4bd0-ab12-771ea5984cfe"}, {"password":"00a08077-739f-42fe-97c6-b42bf97e9d80","newPassword":"691ac8b1-4cc6-4bd0-ab12-771ea5984cfe","newPasswordConfirm":"691ac8b1-4cc6-4bd0-ab12-771ea5984cfe"}, requestBody)
16:40:10.941 [XNIO-1 task-1]  vHu9VUtjTBCez5LPlW1z4g DEBUG com.networknt.schema.TypeValidator debug - validate( "691ac8b1-4cc6-4bd0-ab12-771ea5984cfe", {"password":"00a08077-739f-42fe-97c6-b42bf97e9d80","newPassword":"691ac8b1-4cc6-4bd0-ab12-771ea5984cfe","newPasswordConfirm":"691ac8b1-4cc6-4bd0-ab12-771ea5984cfe"}, requestBody.newPasswordConfirm)
16:40:10.942 [XNIO-1 task-1]  vHu9VUtjTBCez5LPlW1z4g DEBUG com.networknt.schema.TypeValidator debug - validate( "00a08077-739f-42fe-97c6-b42bf97e9d80", {"password":"00a08077-739f-42fe-97c6-b42bf97e9d80","newPassword":"691ac8b1-4cc6-4bd0-ab12-771ea5984cfe","newPasswordConfirm":"691ac8b1-4cc6-4bd0-ab12-771ea5984cfe"}, requestBody.password)
16:40:10.942 [XNIO-1 task-1]  vHu9VUtjTBCez5LPlW1z4g DEBUG com.networknt.schema.TypeValidator debug - validate( "691ac8b1-4cc6-4bd0-ab12-771ea5984cfe", {"password":"00a08077-739f-42fe-97c6-b42bf97e9d80","newPassword":"691ac8b1-4cc6-4bd0-ab12-771ea5984cfe","newPasswordConfirm":"691ac8b1-4cc6-4bd0-ab12-771ea5984cfe"}, requestBody.newPassword)
16:40:10.960 [XNIO-1 task-1]  VGrCZ71mQ-2fG9LvZDieTw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.960 [XNIO-1 task-1]  VGrCZ71mQ-2fG9LvZDieTw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.960 [XNIO-1 task-1]  VGrCZ71mQ-2fG9LvZDieTw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.965 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:996f6e7d-902b-46ba-8578-001a1c935da7
16:40:10.972 [XNIO-1 task-1]  CotR8ZrjS0a0NSkyDDZTAw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.972 [XNIO-1 task-1]  CotR8ZrjS0a0NSkyDDZTAw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.972 [XNIO-1 task-1]  CotR8ZrjS0a0NSkyDDZTAw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.972 [XNIO-1 task-1]  CotR8ZrjS0a0NSkyDDZTAw DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:10.972 [XNIO-1 task-1]  CotR8ZrjS0a0NSkyDDZTAw DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:40:10.974 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:4bd07d49-5781-410e-b822-36027f6b69ca
16:40:10.979 [XNIO-1 task-1]  M-g3Z9-FQAS_SNBf3ciikg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/a54b5d24
16:40:10.979 [XNIO-1 task-1]  M-g3Z9-FQAS_SNBf3ciikg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.979 [XNIO-1 task-1]  M-g3Z9-FQAS_SNBf3ciikg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:10.980 [XNIO-1 task-1]  M-g3Z9-FQAS_SNBf3ciikg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
16:40:10.980 [XNIO-1 task-1]  M-g3Z9-FQAS_SNBf3ciikg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/a54b5d24
16:40:10.980 [XNIO-1 task-1]  M-g3Z9-FQAS_SNBf3ciikg DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"8574ee67-8dea-4457-8634-7927be211a10","newPassword":"0319595a-8414-48dd-9975-8ba84c942d7c","newPasswordConfirm":"0319595a-8414-48dd-9975-8ba84c942d7c"}, {"password":"8574ee67-8dea-4457-8634-7927be211a10","newPassword":"0319595a-8414-48dd-9975-8ba84c942d7c","newPasswordConfirm":"0319595a-8414-48dd-9975-8ba84c942d7c"}, requestBody)
16:40:10.980 [XNIO-1 task-1]  M-g3Z9-FQAS_SNBf3ciikg DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"8574ee67-8dea-4457-8634-7927be211a10","newPassword":"0319595a-8414-48dd-9975-8ba84c942d7c","newPasswordConfirm":"0319595a-8414-48dd-9975-8ba84c942d7c"}, {"password":"8574ee67-8dea-4457-8634-7927be211a10","newPassword":"0319595a-8414-48dd-9975-8ba84c942d7c","newPasswordConfirm":"0319595a-8414-48dd-9975-8ba84c942d7c"}, requestBody)
16:40:10.980 [XNIO-1 task-1]  M-g3Z9-FQAS_SNBf3ciikg DEBUG com.networknt.schema.FormatValidator debug - validate( "0319595a-8414-48dd-9975-8ba84c942d7c", {"password":"8574ee67-8dea-4457-8634-7927be211a10","newPassword":"0319595a-8414-48dd-9975-8ba84c942d7c","newPasswordConfirm":"0319595a-8414-48dd-9975-8ba84c942d7c"}, requestBody.newPasswordConfirm)
16:40:10.980 [XNIO-1 task-1]  M-g3Z9-FQAS_SNBf3ciikg DEBUG com.networknt.schema.FormatValidator debug - validate( "8574ee67-8dea-4457-8634-7927be211a10", {"password":"8574ee67-8dea-4457-8634-7927be211a10","newPassword":"0319595a-8414-48dd-9975-8ba84c942d7c","newPasswordConfirm":"0319595a-8414-48dd-9975-8ba84c942d7c"}, requestBody.password)
16:40:10.980 [XNIO-1 task-1]  M-g3Z9-FQAS_SNBf3ciikg DEBUG com.networknt.schema.FormatValidator debug - validate( "0319595a-8414-48dd-9975-8ba84c942d7c", {"password":"8574ee67-8dea-4457-8634-7927be211a10","newPassword":"0319595a-8414-48dd-9975-8ba84c942d7c","newPasswordConfirm":"0319595a-8414-48dd-9975-8ba84c942d7c"}, requestBody.newPassword)
16:40:10.994 [hz._hzInstance_1_dev.partition-operation.thread-10]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:4729b497
16:40:10.998 [XNIO-1 task-1]  4cl0Lk9aQmy3LvbNbH1VCA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.998 [XNIO-1 task-1]  4cl0Lk9aQmy3LvbNbH1VCA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.998 [XNIO-1 task-1]  4cl0Lk9aQmy3LvbNbH1VCA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.998 [XNIO-1 task-1]  4cl0Lk9aQmy3LvbNbH1VCA DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:11.002 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:b8d4251c
16:40:11.002 [XNIO-1 task-1]  R55-adUnT9yIaDmW8w0_7A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.002 [XNIO-1 task-1]  R55-adUnT9yIaDmW8w0_7A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.002 [XNIO-1 task-1]  R55-adUnT9yIaDmW8w0_7A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.005 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:996f6e7d-902b-46ba-8578-001a1c935da7
16:40:11.013 [XNIO-1 task-1]  5JbG_VA2QOCtmiOZmZWcRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/a54b5d24
16:40:11.013 [XNIO-1 task-1]  5JbG_VA2QOCtmiOZmZWcRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.013 [XNIO-1 task-1]  5JbG_VA2QOCtmiOZmZWcRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:11.013 [XNIO-1 task-1]  5JbG_VA2QOCtmiOZmZWcRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/a54b5d24
16:40:11.015 [XNIO-1 task-1]  bX-027fLRkaO8BD3sVFfvg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/a54b5d24, base path is set to: null
16:40:11.017 [XNIO-1 task-1]  bX-027fLRkaO8BD3sVFfvg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:11.017 [XNIO-1 task-1]  bX-027fLRkaO8BD3sVFfvg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
16:40:11.017 [XNIO-1 task-1]  bX-027fLRkaO8BD3sVFfvg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
16:40:11.017 [XNIO-1 task-1]  bX-027fLRkaO8BD3sVFfvg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/a54b5d24, base path is set to: null
16:40:11.017 [XNIO-1 task-1]  bX-027fLRkaO8BD3sVFfvg DEBUG com.networknt.schema.TypeValidator debug - validate( "a54b5d24", "a54b5d24", userId)
16:40:11.017 [XNIO-1 task-1]  bX-027fLRkaO8BD3sVFfvg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"0319595a-8414-48dd-9975-8ba84c942d7c","newPassword":"db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73","newPasswordConfirm":"db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73"}, {"password":"0319595a-8414-48dd-9975-8ba84c942d7c","newPassword":"db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73","newPasswordConfirm":"db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73"}, requestBody)
16:40:11.017 [XNIO-1 task-1]  bX-027fLRkaO8BD3sVFfvg DEBUG com.networknt.schema.TypeValidator debug - validate( "db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73", {"password":"0319595a-8414-48dd-9975-8ba84c942d7c","newPassword":"db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73","newPasswordConfirm":"db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73"}, requestBody.newPasswordConfirm)
16:40:11.017 [XNIO-1 task-1]  bX-027fLRkaO8BD3sVFfvg DEBUG com.networknt.schema.TypeValidator debug - validate( "0319595a-8414-48dd-9975-8ba84c942d7c", {"password":"0319595a-8414-48dd-9975-8ba84c942d7c","newPassword":"db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73","newPasswordConfirm":"db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73"}, requestBody.password)
16:40:11.017 [XNIO-1 task-1]  bX-027fLRkaO8BD3sVFfvg DEBUG com.networknt.schema.TypeValidator debug - validate( "db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73", {"password":"0319595a-8414-48dd-9975-8ba84c942d7c","newPassword":"db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73","newPasswordConfirm":"db42c0b5-8c9f-49ec-b8f9-261ef7b2ef73"}, requestBody.newPassword)
16:40:11.035 [XNIO-1 task-1]  l0ZrTML-QWKIFZSFJVChXA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:11.036 [XNIO-1 task-1]  l0ZrTML-QWKIFZSFJVChXA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:11.037 [XNIO-1 task-1]  l0ZrTML-QWKIFZSFJVChXA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:11.042 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:3ee4decb
16:40:11.043 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:3ee4decb
16:40:11.054 [XNIO-1 task-1]  Ut5B_sHvR6aMX43Rj-wvUg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:11.054 [XNIO-1 task-1]  Ut5B_sHvR6aMX43Rj-wvUg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:11.055 [XNIO-1 task-1]  Ut5B_sHvR6aMX43Rj-wvUg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:11.055 [XNIO-1 task-1]  Ut5B_sHvR6aMX43Rj-wvUg DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:11.058 [XNIO-1 task-1]  l1piRHoIRCKSBtZ5fzvLmg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/a54b5d24, base path is set to: null
16:40:11.059 [XNIO-1 task-1]  l1piRHoIRCKSBtZ5fzvLmg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:11.059 [XNIO-1 task-1]  l1piRHoIRCKSBtZ5fzvLmg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
16:40:11.059 [XNIO-1 task-1]  l1piRHoIRCKSBtZ5fzvLmg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/a54b5d24, base path is set to: null
16:40:11.059 [XNIO-1 task-1]  l1piRHoIRCKSBtZ5fzvLmg DEBUG com.networknt.schema.TypeValidator debug - validate( "a54b5d24", "a54b5d24", userId)
16:40:11.063 [XNIO-1 task-1]  OOuh-ajsQNGZvONM-eBeJg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.063 [XNIO-1 task-1]  OOuh-ajsQNGZvONM-eBeJg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.063 [XNIO-1 task-1]  OOuh-ajsQNGZvONM-eBeJg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.079 [XNIO-1 task-1]  eVRlQOeAS_iFwSj4cYT3fA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/3ee4decb
16:40:11.080 [XNIO-1 task-1]  eVRlQOeAS_iFwSj4cYT3fA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.080 [XNIO-1 task-1]  eVRlQOeAS_iFwSj4cYT3fA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:11.080 [XNIO-1 task-1]  eVRlQOeAS_iFwSj4cYT3fA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
16:40:11.080 [XNIO-1 task-1]  eVRlQOeAS_iFwSj4cYT3fA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/3ee4decb
16:40:11.080 [XNIO-1 task-1]  eVRlQOeAS_iFwSj4cYT3fA DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"710ef127-9f56-444f-ad1d-9f8036d4298a","newPassword":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPasswordConfirm":"45edee11-b4dd-40d3-a01b-2ffc88b05674"}, {"password":"710ef127-9f56-444f-ad1d-9f8036d4298a","newPassword":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPasswordConfirm":"45edee11-b4dd-40d3-a01b-2ffc88b05674"}, requestBody)
16:40:11.080 [XNIO-1 task-1]  eVRlQOeAS_iFwSj4cYT3fA DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"710ef127-9f56-444f-ad1d-9f8036d4298a","newPassword":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPasswordConfirm":"45edee11-b4dd-40d3-a01b-2ffc88b05674"}, {"password":"710ef127-9f56-444f-ad1d-9f8036d4298a","newPassword":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPasswordConfirm":"45edee11-b4dd-40d3-a01b-2ffc88b05674"}, requestBody)
16:40:11.080 [XNIO-1 task-1]  eVRlQOeAS_iFwSj4cYT3fA DEBUG com.networknt.schema.FormatValidator debug - validate( "45edee11-b4dd-40d3-a01b-2ffc88b05674", {"password":"710ef127-9f56-444f-ad1d-9f8036d4298a","newPassword":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPasswordConfirm":"45edee11-b4dd-40d3-a01b-2ffc88b05674"}, requestBody.newPasswordConfirm)
16:40:11.080 [XNIO-1 task-1]  eVRlQOeAS_iFwSj4cYT3fA DEBUG com.networknt.schema.FormatValidator debug - validate( "710ef127-9f56-444f-ad1d-9f8036d4298a", {"password":"710ef127-9f56-444f-ad1d-9f8036d4298a","newPassword":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPasswordConfirm":"45edee11-b4dd-40d3-a01b-2ffc88b05674"}, requestBody.password)
16:40:11.080 [XNIO-1 task-1]  eVRlQOeAS_iFwSj4cYT3fA DEBUG com.networknt.schema.FormatValidator debug - validate( "45edee11-b4dd-40d3-a01b-2ffc88b05674", {"password":"710ef127-9f56-444f-ad1d-9f8036d4298a","newPassword":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPasswordConfirm":"45edee11-b4dd-40d3-a01b-2ffc88b05674"}, requestBody.newPassword)
16:40:11.090 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:3ee4decb
16:40:11.097 [XNIO-1 task-1]  bnch6Ld-QpeyXaZLlgyteQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.097 [XNIO-1 task-1]  bnch6Ld-QpeyXaZLlgyteQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.097 [XNIO-1 task-1]  bnch6Ld-QpeyXaZLlgyteQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.097 [XNIO-1 task-1]  bnch6Ld-QpeyXaZLlgyteQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:40:11.104 [XNIO-1 task-1]  EM0efN6rQxqND7z3Fa35wA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.104 [XNIO-1 task-1]  EM0efN6rQxqND7z3Fa35wA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.104 [XNIO-1 task-1]  EM0efN6rQxqND7z3Fa35wA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.121 [XNIO-1 task-1]  k-I18GP3SNKPK2aPc0QynQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/3ee4decb
16:40:11.121 [XNIO-1 task-1]  k-I18GP3SNKPK2aPc0QynQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:11.121 [XNIO-1 task-1]  k-I18GP3SNKPK2aPc0QynQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:11.121 [XNIO-1 task-1]  k-I18GP3SNKPK2aPc0QynQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
16:40:11.121 [XNIO-1 task-1]  k-I18GP3SNKPK2aPc0QynQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/3ee4decb
16:40:11.121 [XNIO-1 task-1]  k-I18GP3SNKPK2aPc0QynQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPassword":"bbcbd92a-6466-4c3c-ab78-020f3eb6a4a8","newPasswordConfirm":"bbcbd92a-6466-4c3c-ab78-020f3eb6a4a8"}, {"password":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPassword":"bbcbd92a-6466-4c3c-ab78-020f3eb6a4a8","newPasswordConfirm":"bbcbd92a-6466-4c3c-ab78-020f3eb6a4a8"}, requestBody)
16:40:11.121 [XNIO-1 task-1]  k-I18GP3SNKPK2aPc0QynQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPassword":"bbcbd92a-6466-4c3c-ab78-020f3eb6a4a8","newPasswordConfirm":"bbcbd92a-6466-4c3c-ab78-020f3eb6a4a8"}, {"password":"45edee11-b4dd-40d3-a01b-2ffc88b05674","newPassword":"bbcbd92a-6466-4c3c-ab78-020f3eb6a4a8","newPasswordConfirm":"bbcbd92a-6466-4c3c-ab78-020f3eb6a4a8"}, requestBody)
