20:00:39.952 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG com.zaxxer.hikari.pool.HikariPool checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@fe063ff
20:00:42.064 [XNIO-1 task-2]  HrkY3VCETd2219sD7MILWQ DEBUG com.networknt.schema.TypeValidator debug - validate( "8c8000e8-851c-4266-a9ed-087cbc49", {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
20:00:42.064 [XNIO-1 task-2]  HrkY3VCETd2219sD7MILWQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.077 [XNIO-1 task-2]  nt6O4e9gSXmv_wnz9ovknw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/a322d237, base path is set to: null
20:00:42.078 [XNIO-1 task-2]  nt6O4e9gSXmv_wnz9ovknw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:42.078 [XNIO-1 task-2]  nt6O4e9gSXmv_wnz9ovknw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
20:00:42.078 [XNIO-1 task-2]  nt6O4e9gSXmv_wnz9ovknw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/a322d237, base path is set to: null
20:00:42.078 [XNIO-1 task-2]  nt6O4e9gSXmv_wnz9ovknw DEBUG com.networknt.schema.TypeValidator debug - validate( "a322d237", "a322d237", serviceId)
20:00:42.081 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:bbdce8d1-267a-46c8-a0e7-5256094a124d
20:00:42.083 [XNIO-1 task-2]  OsbMJnilQquzuZwMcEGFQg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/82c605f9
20:00:42.084 [XNIO-1 task-2]  OsbMJnilQquzuZwMcEGFQg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.084 [XNIO-1 task-2]  OsbMJnilQquzuZwMcEGFQg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:42.084 [XNIO-1 task-2]  OsbMJnilQquzuZwMcEGFQg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/82c605f9
20:00:42.100 [XNIO-1 task-2]  ZCX0n0SLRMGRdVO20yjn-Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.100 [XNIO-1 task-2]  ZCX0n0SLRMGRdVO20yjn-Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:42.101 [XNIO-1 task-2]  ZCX0n0SLRMGRdVO20yjn-Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.114 [XNIO-1 task-2]  kfxSkpIDSOysk63TPoyqQw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.114 [XNIO-1 task-2]  kfxSkpIDSOysk63TPoyqQw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:42.114 [XNIO-1 task-2]  kfxSkpIDSOysk63TPoyqQw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.115 [XNIO-1 task-2]  kfxSkpIDSOysk63TPoyqQw DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.115 [XNIO-1 task-2]  kfxSkpIDSOysk63TPoyqQw DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.115 [XNIO-1 task-2]  kfxSkpIDSOysk63TPoyqQw DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:42.115 [XNIO-1 task-2]  kfxSkpIDSOysk63TPoyqQw DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
20:00:42.115 [XNIO-1 task-2]  kfxSkpIDSOysk63TPoyqQw DEBUG com.networknt.schema.TypeValidator debug - validate( "3d966cc2-c651-49fa-90f5-886783f8", {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
20:00:42.116 [XNIO-1 task-2]  kfxSkpIDSOysk63TPoyqQw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.116 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:a322d237
20:00:42.124 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:bbdce8d1-267a-46c8-a0e7-5256094a124d
20:00:42.128 [XNIO-1 task-2]  4hGKn956Rh2QHxHOPZ7UMw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.128 [XNIO-1 task-2]  4hGKn956Rh2QHxHOPZ7UMw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.129 [XNIO-1 task-2]  4hGKn956Rh2QHxHOPZ7UMw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.148 [XNIO-1 task-2]  _v4jVrUtQIejThldFGG2zg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.148 [XNIO-1 task-2]  _v4jVrUtQIejThldFGG2zg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.148 [XNIO-1 task-2]  _v4jVrUtQIejThldFGG2zg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.151 [XNIO-1 task-2]  _v4jVrUtQIejThldFGG2zg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.151 [XNIO-1 task-2]  _v4jVrUtQIejThldFGG2zg DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:42.151 [XNIO-1 task-2]  _v4jVrUtQIejThldFGG2zg DEBUG com.networknt.schema.TypeValidator debug - validate( "8fad5525-52d3-49e9-a9e9-cf762ee32f4b", {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
20:00:42.151 [XNIO-1 task-2]  _v4jVrUtQIejThldFGG2zg DEBUG com.networknt.schema.TypeValidator debug - validate( "a322d237", {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
20:00:42.151 [XNIO-1 task-2]  _v4jVrUtQIejThldFGG2zg DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
20:00:42.151 [XNIO-1 task-2]  _v4jVrUtQIejThldFGG2zg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a322d237","serviceName":"3d966cc2-c651-49fa-90f5-886783f8","serviceDesc":"8fad5525-52d3-49e9-a9e9-cf762ee32f4b","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.153 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:a322d237
20:00:42.239 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:669ea312-2e09-48c0-ac1e-539d01e35f0f
20:00:42.240 [XNIO-1 task-2]  rla-L9AJRAKPL4B5UazLbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.257 [XNIO-1 task-2]  rla-L9AJRAKPL4B5UazLbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:42.258 [XNIO-1 task-2]  rla-L9AJRAKPL4B5UazLbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.275 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:4ffcff5e
20:00:42.278 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:4ffcff5e
20:00:42.287 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:fd5dec24-54fc-4b95-9f2b-6f07151a4974
20:00:42.287 [XNIO-1 task-2]  cdjmPOZPStSbGtQbG2rcqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/4ffcff5e
20:00:42.288 [XNIO-1 task-2]  cdjmPOZPStSbGtQbG2rcqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.288 [XNIO-1 task-2]  cdjmPOZPStSbGtQbG2rcqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:42.289 [XNIO-1 task-2]  cdjmPOZPStSbGtQbG2rcqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/4ffcff5e
20:00:42.290 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:4ffcff5e
20:00:42.310 [XNIO-1 task-2]  VDE7s8NmRXmDbQc4FZNsoA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.310 [XNIO-1 task-2]  VDE7s8NmRXmDbQc4FZNsoA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:42.310 [XNIO-1 task-2]  VDE7s8NmRXmDbQc4FZNsoA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.311 [XNIO-1 task-2]  VDE7s8NmRXmDbQc4FZNsoA DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.311 [XNIO-1 task-2]  VDE7s8NmRXmDbQc4FZNsoA DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.311 [XNIO-1 task-2]  VDE7s8NmRXmDbQc4FZNsoA DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:42.311 [XNIO-1 task-2]  VDE7s8NmRXmDbQc4FZNsoA DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
20:00:42.311 [XNIO-1 task-2]  VDE7s8NmRXmDbQc4FZNsoA DEBUG com.networknt.schema.TypeValidator debug - validate( "8c8000e8-851c-4266-a9ed-087cbc49", {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
20:00:42.311 [XNIO-1 task-2]  VDE7s8NmRXmDbQc4FZNsoA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"18ae3482","serviceName":"8c8000e8-851c-4266-a9ed-087cbc49","serviceDesc":"c6825d3c-de3b-4f77-bf78-fd768f89c0d3","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.337 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:15b5c916
20:00:42.349 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:15b5c916
20:00:42.374 [XNIO-1 task-2]  Zmx7t5WUTPSAaxdBLm7tvQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.374 [XNIO-1 task-2]  Zmx7t5WUTPSAaxdBLm7tvQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.375 [XNIO-1 task-2]  Zmx7t5WUTPSAaxdBLm7tvQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.410 [XNIO-1 task-2]  kqOTgHw6RR-SfynP2df0bA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/a322d237
20:00:42.410 [XNIO-1 task-2]  kqOTgHw6RR-SfynP2df0bA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.410 [XNIO-1 task-2]  kqOTgHw6RR-SfynP2df0bA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:42.410 [XNIO-1 task-2]  kqOTgHw6RR-SfynP2df0bA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/a322d237
20:00:42.432 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:a322d237
20:00:42.443 [XNIO-1 task-2]  KXQvZ26sQ0aF9e_qlhBbQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.444 [XNIO-1 task-2]  KXQvZ26sQ0aF9e_qlhBbQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:42.444 [XNIO-1 task-2]  KXQvZ26sQ0aF9e_qlhBbQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.444 [XNIO-1 task-2]  KXQvZ26sQ0aF9e_qlhBbQQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
20:00:42.459 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:77a2018e-21be-4f46-a943-cb29ab68c7eb
20:00:42.462 [XNIO-1 task-2]  9vYDaSGfTq2F9S_9UEUw1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/e1292dbf
20:00:42.462 [XNIO-1 task-2]  9vYDaSGfTq2F9S_9UEUw1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.462 [XNIO-1 task-2]  9vYDaSGfTq2F9S_9UEUw1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:42.463 [XNIO-1 task-2]  9vYDaSGfTq2F9S_9UEUw1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/e1292dbf
20:00:42.468 [XNIO-1 task-2]  CWp1t52SRq26_342D_vYZw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.468 [XNIO-1 task-2]  CWp1t52SRq26_342D_vYZw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:42.469 [XNIO-1 task-2]  CWp1t52SRq26_342D_vYZw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.470 [XNIO-1 task-2]  CWp1t52SRq26_342D_vYZw DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
20:00:42.529 [XNIO-1 task-2]  7oafRKq2TGOO96d2YTKf6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/b8bf151f, base path is set to: null
20:00:42.530 [XNIO-1 task-2]  7oafRKq2TGOO96d2YTKf6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:42.530 [XNIO-1 task-2]  7oafRKq2TGOO96d2YTKf6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
20:00:42.530 [XNIO-1 task-2]  7oafRKq2TGOO96d2YTKf6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/b8bf151f, base path is set to: null
20:00:42.530 [XNIO-1 task-2]  7oafRKq2TGOO96d2YTKf6w DEBUG com.networknt.schema.TypeValidator debug - validate( "b8bf151f", "b8bf151f", serviceId)
20:00:42.534 [XNIO-1 task-2]  V9yvvaRMRJiTXHxC0AAqFA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/dadcb776
20:00:42.534 [XNIO-1 task-2]  V9yvvaRMRJiTXHxC0AAqFA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.534 [XNIO-1 task-2]  V9yvvaRMRJiTXHxC0AAqFA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:42.534 [XNIO-1 task-2]  V9yvvaRMRJiTXHxC0AAqFA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/dadcb776
20:00:42.538 [XNIO-1 task-2]  GPK18RYfTH2GNtNcF-HyXw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.538 [XNIO-1 task-2]  GPK18RYfTH2GNtNcF-HyXw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:42.539 [XNIO-1 task-2]  GPK18RYfTH2GNtNcF-HyXw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:42.539 [XNIO-1 task-2]  GPK18RYfTH2GNtNcF-HyXw DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"e1292dbf","serviceName":"05ef39dd-b07d-475a-84c2-0a543cc9","serviceDesc":"a22b2b73-c211-40e9-974f-a9e138243934","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"e1292dbf","serviceName":"05ef39dd-b07d-475a-84c2-0a543cc9","serviceDesc":"a22b2b73-c211-40e9-974f-a9e138243934","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.539 [XNIO-1 task-2]  GPK18RYfTH2GNtNcF-HyXw DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"e1292dbf","serviceName":"05ef39dd-b07d-475a-84c2-0a543cc9","serviceDesc":"a22b2b73-c211-40e9-974f-a9e138243934","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"e1292dbf","serviceName":"05ef39dd-b07d-475a-84c2-0a543cc9","serviceDesc":"a22b2b73-c211-40e9-974f-a9e138243934","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.539 [XNIO-1 task-2]  GPK18RYfTH2GNtNcF-HyXw DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"e1292dbf","serviceName":"05ef39dd-b07d-475a-84c2-0a543cc9","serviceDesc":"a22b2b73-c211-40e9-974f-a9e138243934","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:42.539 [XNIO-1 task-2]  GPK18RYfTH2GNtNcF-HyXw DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"e1292dbf","serviceName":"05ef39dd-b07d-475a-84c2-0a543cc9","serviceDesc":"a22b2b73-c211-40e9-974f-a9e138243934","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
20:00:42.540 [XNIO-1 task-2]  GPK18RYfTH2GNtNcF-HyXw DEBUG com.networknt.schema.TypeValidator debug - validate( "05ef39dd-b07d-475a-84c2-0a543cc9", {"serviceType":"swagger","serviceId":"e1292dbf","serviceName":"05ef39dd-b07d-475a-84c2-0a543cc9","serviceDesc":"a22b2b73-c211-40e9-974f-a9e138243934","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
20:00:42.540 [XNIO-1 task-2]  GPK18RYfTH2GNtNcF-HyXw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"e1292dbf","serviceName":"05ef39dd-b07d-475a-84c2-0a543cc9","serviceDesc":"a22b2b73-c211-40e9-974f-a9e138243934","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"e1292dbf","serviceName":"05ef39dd-b07d-475a-84c2-0a543cc9","serviceDesc":"a22b2b73-c211-40e9-974f-a9e138243934","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:42.552 [XNIO-1 task-2]  NyoxxbYYQTaHZywD3zTaFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/86671835, base path is set to: null
20:00:42.552 [XNIO-1 task-2]  NyoxxbYYQTaHZywD3zTaFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:42.553 [XNIO-1 task-2]  NyoxxbYYQTaHZywD3zTaFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
20:00:42.553 [XNIO-1 task-2]  NyoxxbYYQTaHZywD3zTaFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/86671835, base path is set to: null
20:00:42.553 [XNIO-1 task-2]  NyoxxbYYQTaHZywD3zTaFQ DEBUG com.networknt.schema.TypeValidator debug - validate( "86671835", "86671835", serviceId)
20:00:42.558 [XNIO-1 task-2]  PxwJDa8VTjmeHIqq-Ba8Kg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.558 [XNIO-1 task-2]  PxwJDa8VTjmeHIqq-Ba8Kg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.558 [XNIO-1 task-2]  PxwJDa8VTjmeHIqq-Ba8Kg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.584 [XNIO-1 task-2]  a9sqmEnFRSOTBAySZhlmcA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/86671835
20:00:42.584 [XNIO-1 task-2]  a9sqmEnFRSOTBAySZhlmcA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:42.585 [XNIO-1 task-2]  a9sqmEnFRSOTBAySZhlmcA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
