09:00:41.004 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:815aa1f2
09:00:42.137 [XNIO-1 task-2]  iLYzquohSaKR9DrfLzeQMQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:42.138 [XNIO-1 task-2]  iLYzquohSaKR9DrfLzeQMQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:42.138 [XNIO-1 task-2]  iLYzquohSaKR9DrfLzeQMQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:42.146 [XNIO-1 task-2]  iLYzquohSaKR9DrfLzeQMQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:42.155 [XNIO-1 task-2]  iLYzquohSaKR9DrfLzeQMQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:42.161 [XNIO-1 task-2]  iLYzquohSaKR9DrfLzeQMQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=2dHsk2N-QtClr_cojmzQEQ
09:00:42.198 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.198 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.199 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.199 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG com.networknt.schema.TypeValidator debug - validate( "fb7ac70c-8b7c-4c10-84d3-151e3e66a854", "fb7ac70c-8b7c-4c10-84d3-151e3e66a854", client_id)
09:00:42.220 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:42.220 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:42.220 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:42.220 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:42.221 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:42.228 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:42.228 [XNIO-1 task-2]  MxTBDSEiTTuFPH5X5Qr45A DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:42.228 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.231 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
09:00:42.231 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.232 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG com.networknt.schema.TypeValidator debug - validate( "c2266f5f-880e-4d86-b455-70e2ce22b2dd", "c2266f5f-880e-4d86-b455-70e2ce22b2dd", client_id)
09:00:42.232 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
09:00:42.233 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
09:00:42.233 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
09:00:42.233 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
09:00:42.233 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
09:00:42.240 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:42.241 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:42.244 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.244 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
09:00:42.244 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.244 [XNIO-1 task-1]  QKlbArCmQ_KH0c-jds6Wgw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=tuqe5wEHRjmhxC3X_8wqZQ
09:00:42.245 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG com.networknt.schema.TypeValidator debug - validate( "fb7ac70c-8b7c-4c10-84d3-151e3e66a854", "fb7ac70c-8b7c-4c10-84d3-151e3e66a854", client_id)
09:00:42.245 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:42.246 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:42.246 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:42.246 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:42.246 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:42.250 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.250 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
09:00:42.250 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.251 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG com.networknt.schema.TypeValidator debug - validate( "46c127ea-5608-48a9-8c7d-a14ab59596d9", "46c127ea-5608-48a9-8c7d-a14ab59596d9", client_id)
09:00:42.251 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
09:00:42.251 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
09:00:42.251 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
09:00:42.252 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
09:00:42.254 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@5ba44ccb for /oauth2/code
09:00:42.254 [XNIO-1 task-2]  TXfld7VTQmur3d3wxTfA0Q DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
09:00:42.257 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
09:00:42.267 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:42.267 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:42.269 [XNIO-1 task-1]  VJrNK9TsQIiCWZocE6heIw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=azavrSE8Twu-tkRZPXcGTg
09:00:42.269 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.269 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.270 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.270 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG com.networknt.schema.TypeValidator debug - validate( "fb7ac70c-8b7c-4c10-84d3-151e3e66a854", "fb7ac70c-8b7c-4c10-84d3-151e3e66a854", client_id)
09:00:42.271 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:42.271 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:42.272 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:42.272 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:42.272 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:42.279 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:42.279 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:42.281 [XNIO-1 task-2]  CjlBKPgtSfadvz65LJKB_w DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=ba_lzPxVSfepVOXU9NNF7A
09:00:42.284 [XNIO-1 task-2]  741aBpGDQNyaEqxyDoiqAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.284 [XNIO-1 task-2]  741aBpGDQNyaEqxyDoiqAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.285 [XNIO-1 task-2]  741aBpGDQNyaEqxyDoiqAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.285 [XNIO-1 task-2]  741aBpGDQNyaEqxyDoiqAg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:42.286 [XNIO-1 task-2]  741aBpGDQNyaEqxyDoiqAg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:42.286 [XNIO-1 task-2]  741aBpGDQNyaEqxyDoiqAg DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:42.286 [XNIO-1 task-2]  741aBpGDQNyaEqxyDoiqAg DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:42.286 [XNIO-1 task-2]  741aBpGDQNyaEqxyDoiqAg DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:42.288 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.288 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
09:00:42.288 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.289 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG com.networknt.schema.TypeValidator debug - validate( "Hqdg1tO-fN4qiM0iDTMNc3EksQDf7XWaDu21LNmmmzc", "Hqdg1tO-fN4qiM0iDTMNc3EksQDf7XWaDu21LNmmmzc", code_challenge)
09:00:42.289 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
09:00:42.289 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
09:00:42.290 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
09:00:42.290 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
09:00:42.290 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
09:00:42.290 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
09:00:42.295 [XNIO-1 task-2]  741aBpGDQNyaEqxyDoiqAg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@5ba44ccb for /oauth2/code
09:00:42.297 [XNIO-1 task-2]  741aBpGDQNyaEqxyDoiqAg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
09:00:42.300 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@5ba44ccb for /oauth2/code
09:00:42.300 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
09:00:42.308 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.308 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
09:00:42.308 [XNIO-1 task-1]  PXbPR2CDS52Zn8G7SMwCVA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=W3Lr7tmcReCWfwEEKHR_xA
09:00:42.310 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.310 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:42.311 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:42.311 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:42.311 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:42.311 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:42.322 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:42.322 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:42.327 [XNIO-1 task-2]  sMv2fRbNQkW8k-Z3K156CQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=4wN0UCWSTA6_2UxHviDWRg
09:00:42.332 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.332 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.333 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.333 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:42.334 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:42.335 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:42.335 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:42.335 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:42.373 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:42.374 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:42.379 [XNIO-1 task-2]  6sS3wjAhTauf9sqhzXD-Rw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=Q4J4Y1eBTt2vScQJ56NFXQ
09:00:42.391 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:f9c58674
09:00:42.415 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.415 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
09:00:42.416 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:42.416 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG com.networknt.schema.TypeValidator debug - validate( "Ah8W_UFPX-DuAbgnonHw_EufyQ5mOx187nKgVh7GqAE", "Ah8W_UFPX-DuAbgnonHw_EufyQ5mOx187nKgVh7GqAE", code_challenge)
09:00:42.417 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
09:00:42.417 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
09:00:42.418 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
09:00:42.418 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
09:00:42.418 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
09:00:42.418 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
09:00:42.422 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.422 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.422 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.423 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:42.423 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:42.424 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:42.424 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:42.424 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:42.425 [hz._hzInstance_1_dev.partition-operation.thread-2]   DEBUG c.networknt.oauth.cache.UserMapStore delete - Delete:1e9bfe18
09:00:42.433 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@5ba44ccb for /oauth2/code
09:00:42.433 [XNIO-1 task-2]  JDWcfg5KTECZRoAlAqKTHA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
09:00:42.442 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:42.443 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:42.449 [XNIO-1 task-1]  xcJQJa1VSdqrt5kpYqOyZA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=PQZ_3lqXSCS266eAoEsdMA
09:00:42.466 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.466 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.466 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:42.467 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:42.467 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:42.468 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:42.468 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:42.468 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:42.477 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:42.478 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:42.482 [XNIO-1 task-1]  DtCm52p2S1CRc1-9DPrgGQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=YJY88LQBSSezQSs9EWVTLg
09:00:42.510 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:f9c58674
