16:40:50.940 [XNIO-1 task-2]  w36eAxhJTze5C9rp4bvKvA DEBUG com.networknt.schema.TypeValidator debug - validate( "e65c6856", "e65c6856", serviceId)
16:40:51.721 [XNIO-1 task-2]  KkgPW7OeQYmFp7P-PTcBcg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.721 [XNIO-1 task-2]  KkgPW7OeQYmFp7P-PTcBcg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.721 [XNIO-1 task-2]  KkgPW7OeQYmFp7P-PTcBcg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.721 [XNIO-1 task-2]  KkgPW7OeQYmFp7P-PTcBcg DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:51.726 [XNIO-1 task-2]  mCLpkqfVTYm9-4iO-yttiw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.726 [XNIO-1 task-2]  mCLpkqfVTYm9-4iO-yttiw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.726 [XNIO-1 task-2]  mCLpkqfVTYm9-4iO-yttiw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.726 [XNIO-1 task-2]  mCLpkqfVTYm9-4iO-yttiw DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:51.730 [XNIO-1 task-2]  TWRD-ygRTuqaMp5YmYvBGw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.731 [XNIO-1 task-2]  TWRD-ygRTuqaMp5YmYvBGw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.731 [XNIO-1 task-2]  TWRD-ygRTuqaMp5YmYvBGw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.731 [XNIO-1 task-2]  TWRD-ygRTuqaMp5YmYvBGw DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"3038a720","serviceName":"dab8cc6f-1546-4ac9-a892-401e528f","serviceDesc":"e42d669a-bc50-44a0-b9b0-d1c387865d9f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"3038a720","serviceName":"dab8cc6f-1546-4ac9-a892-401e528f","serviceDesc":"e42d669a-bc50-44a0-b9b0-d1c387865d9f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.731 [XNIO-1 task-2]  TWRD-ygRTuqaMp5YmYvBGw DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"3038a720","serviceName":"dab8cc6f-1546-4ac9-a892-401e528f","serviceDesc":"e42d669a-bc50-44a0-b9b0-d1c387865d9f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"3038a720","serviceName":"dab8cc6f-1546-4ac9-a892-401e528f","serviceDesc":"e42d669a-bc50-44a0-b9b0-d1c387865d9f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.731 [XNIO-1 task-2]  TWRD-ygRTuqaMp5YmYvBGw DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"3038a720","serviceName":"dab8cc6f-1546-4ac9-a892-401e528f","serviceDesc":"e42d669a-bc50-44a0-b9b0-d1c387865d9f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:40:51.731 [XNIO-1 task-2]  TWRD-ygRTuqaMp5YmYvBGw DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"3038a720","serviceName":"dab8cc6f-1546-4ac9-a892-401e528f","serviceDesc":"e42d669a-bc50-44a0-b9b0-d1c387865d9f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:40:51.731 [XNIO-1 task-2]  TWRD-ygRTuqaMp5YmYvBGw DEBUG com.networknt.schema.TypeValidator debug - validate( "dab8cc6f-1546-4ac9-a892-401e528f", {"serviceType":"swagger","serviceId":"3038a720","serviceName":"dab8cc6f-1546-4ac9-a892-401e528f","serviceDesc":"e42d669a-bc50-44a0-b9b0-d1c387865d9f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:40:51.731 [XNIO-1 task-2]  TWRD-ygRTuqaMp5YmYvBGw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"3038a720","serviceName":"dab8cc6f-1546-4ac9-a892-401e528f","serviceDesc":"e42d669a-bc50-44a0-b9b0-d1c387865d9f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"3038a720","serviceName":"dab8cc6f-1546-4ac9-a892-401e528f","serviceDesc":"e42d669a-bc50-44a0-b9b0-d1c387865d9f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.739 [XNIO-1 task-2]  Q-ZrsVIERHOcqtXoedmmsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.739 [XNIO-1 task-2]  Q-ZrsVIERHOcqtXoedmmsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.739 [XNIO-1 task-2]  Q-ZrsVIERHOcqtXoedmmsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.744 [XNIO-1 task-2]  yENNPT-yS8GRXvbdgbohaw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/44f030de, base path is set to: null
16:40:51.744 [XNIO-1 task-2]  yENNPT-yS8GRXvbdgbohaw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.745 [XNIO-1 task-2]  yENNPT-yS8GRXvbdgbohaw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:40:51.745 [XNIO-1 task-2]  yENNPT-yS8GRXvbdgbohaw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/44f030de, base path is set to: null
16:40:51.745 [XNIO-1 task-2]  yENNPT-yS8GRXvbdgbohaw DEBUG com.networknt.schema.TypeValidator debug - validate( "44f030de", "44f030de", serviceId)
16:40:51.746 [XNIO-1 task-2]  WELpru_NQKif4kc8YmEBVw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.746 [XNIO-1 task-2]  WELpru_NQKif4kc8YmEBVw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.746 [XNIO-1 task-2]  WELpru_NQKif4kc8YmEBVw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.747 [XNIO-1 task-2]  WELpru_NQKif4kc8YmEBVw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"40e3226e","serviceName":"97ce33fe-8719-4d91-bb5f-4a5df5dd","serviceDesc":"1c1a9d7f-4c17-43c8-850e-9884ccd9f579","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"40e3226e","serviceName":"97ce33fe-8719-4d91-bb5f-4a5df5dd","serviceDesc":"1c1a9d7f-4c17-43c8-850e-9884ccd9f579","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.747 [XNIO-1 task-2]  WELpru_NQKif4kc8YmEBVw DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"40e3226e","serviceName":"97ce33fe-8719-4d91-bb5f-4a5df5dd","serviceDesc":"1c1a9d7f-4c17-43c8-850e-9884ccd9f579","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:40:51.747 [XNIO-1 task-2]  WELpru_NQKif4kc8YmEBVw DEBUG com.networknt.schema.TypeValidator debug - validate( "1c1a9d7f-4c17-43c8-850e-9884ccd9f579", {"serviceType":"swagger","serviceId":"40e3226e","serviceName":"97ce33fe-8719-4d91-bb5f-4a5df5dd","serviceDesc":"1c1a9d7f-4c17-43c8-850e-9884ccd9f579","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
16:40:51.747 [XNIO-1 task-2]  WELpru_NQKif4kc8YmEBVw DEBUG com.networknt.schema.TypeValidator debug - validate( "40e3226e", {"serviceType":"swagger","serviceId":"40e3226e","serviceName":"97ce33fe-8719-4d91-bb5f-4a5df5dd","serviceDesc":"1c1a9d7f-4c17-43c8-850e-9884ccd9f579","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
16:40:51.747 [XNIO-1 task-2]  WELpru_NQKif4kc8YmEBVw DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"40e3226e","serviceName":"97ce33fe-8719-4d91-bb5f-4a5df5dd","serviceDesc":"1c1a9d7f-4c17-43c8-850e-9884ccd9f579","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
16:40:51.747 [XNIO-1 task-2]  WELpru_NQKif4kc8YmEBVw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"40e3226e","serviceName":"97ce33fe-8719-4d91-bb5f-4a5df5dd","serviceDesc":"1c1a9d7f-4c17-43c8-850e-9884ccd9f579","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"40e3226e","serviceName":"97ce33fe-8719-4d91-bb5f-4a5df5dd","serviceDesc":"1c1a9d7f-4c17-43c8-850e-9884ccd9f579","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.752 [XNIO-1 task-2]  J-zKW__fRIiDbBrD9untQA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/29e4f364
16:40:51.752 [XNIO-1 task-2]  J-zKW__fRIiDbBrD9untQA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.752 [XNIO-1 task-2]  J-zKW__fRIiDbBrD9untQA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:40:51.752 [XNIO-1 task-2]  J-zKW__fRIiDbBrD9untQA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/29e4f364
16:40:51.758 [XNIO-1 task-2]  pUFb71EfS-au0SpZ4lX2WQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.758 [XNIO-1 task-2]  pUFb71EfS-au0SpZ4lX2WQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.758 [XNIO-1 task-2]  pUFb71EfS-au0SpZ4lX2WQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.758 [XNIO-1 task-2]  pUFb71EfS-au0SpZ4lX2WQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:51.770 [XNIO-1 task-2]  NfcU4isGT66owlkGCGC20Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.771 [XNIO-1 task-2]  NfcU4isGT66owlkGCGC20Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.771 [XNIO-1 task-2]  NfcU4isGT66owlkGCGC20Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.778 [XNIO-1 task-2]  80tTw3X8RhmazHr8WAfReQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.778 [XNIO-1 task-2]  80tTw3X8RhmazHr8WAfReQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.779 [XNIO-1 task-2]  80tTw3X8RhmazHr8WAfReQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.779 [XNIO-1 task-2]  80tTw3X8RhmazHr8WAfReQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:51.784 [XNIO-1 task-2]  NiGU5JWFSQGjDflVFDOcIA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/44f030de, base path is set to: null
16:40:51.784 [XNIO-1 task-2]  NiGU5JWFSQGjDflVFDOcIA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.784 [XNIO-1 task-2]  NiGU5JWFSQGjDflVFDOcIA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:40:51.784 [XNIO-1 task-2]  NiGU5JWFSQGjDflVFDOcIA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/44f030de, base path is set to: null
16:40:51.784 [XNIO-1 task-2]  NiGU5JWFSQGjDflVFDOcIA DEBUG com.networknt.schema.TypeValidator debug - validate( "44f030de", "44f030de", serviceId)
16:40:51.786 [XNIO-1 task-2]  ntjt5VgwQpyY9gOQ9J021g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/40e3226e
16:40:51.786 [XNIO-1 task-2]  ntjt5VgwQpyY9gOQ9J021g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.787 [XNIO-1 task-2]  ntjt5VgwQpyY9gOQ9J021g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:40:51.787 [XNIO-1 task-2]  ntjt5VgwQpyY9gOQ9J021g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/40e3226e
16:40:51.793 [XNIO-1 task-2]  1Nhb9wl3QuiVHZ_vuM9XmQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.793 [XNIO-1 task-2]  1Nhb9wl3QuiVHZ_vuM9XmQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.793 [XNIO-1 task-2]  1Nhb9wl3QuiVHZ_vuM9XmQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.803 [XNIO-1 task-2]  EgPkjlKOTWC-imOPRynggA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/516b35ef, base path is set to: null
16:40:51.803 [XNIO-1 task-2]  EgPkjlKOTWC-imOPRynggA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.803 [XNIO-1 task-2]  EgPkjlKOTWC-imOPRynggA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:40:51.803 [XNIO-1 task-2]  EgPkjlKOTWC-imOPRynggA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/516b35ef, base path is set to: null
16:40:51.803 [XNIO-1 task-2]  EgPkjlKOTWC-imOPRynggA DEBUG com.networknt.schema.TypeValidator debug - validate( "516b35ef", "516b35ef", serviceId)
16:40:51.806 [XNIO-1 task-2]  dySOoAytTg6_mkN3zjN_GQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/d204248a
16:40:51.807 [XNIO-1 task-2]  dySOoAytTg6_mkN3zjN_GQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.807 [XNIO-1 task-2]  dySOoAytTg6_mkN3zjN_GQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:40:51.807 [XNIO-1 task-2]  dySOoAytTg6_mkN3zjN_GQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/d204248a
16:40:51.810 [XNIO-1 task-2]  vnQM3Z3uR-qiHod6DUrsuA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/d204248a, base path is set to: null
16:40:51.810 [XNIO-1 task-2]  vnQM3Z3uR-qiHod6DUrsuA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.810 [XNIO-1 task-2]  vnQM3Z3uR-qiHod6DUrsuA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:40:51.810 [XNIO-1 task-2]  vnQM3Z3uR-qiHod6DUrsuA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/d204248a, base path is set to: null
16:40:51.810 [XNIO-1 task-2]  vnQM3Z3uR-qiHod6DUrsuA DEBUG com.networknt.schema.TypeValidator debug - validate( "d204248a", "d204248a", serviceId)
16:40:51.816 [XNIO-1 task-2]  YnMq5O87Sxug7kSMg92VrQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.816 [XNIO-1 task-2]  YnMq5O87Sxug7kSMg92VrQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.816 [XNIO-1 task-2]  YnMq5O87Sxug7kSMg92VrQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.816 [XNIO-1 task-2]  YnMq5O87Sxug7kSMg92VrQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:40:51.849 [XNIO-1 task-2]  7gmx2qORSSaQ237gBFSW9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.849 [XNIO-1 task-2]  7gmx2qORSSaQ237gBFSW9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.849 [XNIO-1 task-2]  7gmx2qORSSaQ237gBFSW9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.856 [XNIO-1 task-2]  zAO_rJWTSHCx-KTt9osgkA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/9ac0960b
16:40:51.856 [XNIO-1 task-2]  zAO_rJWTSHCx-KTt9osgkA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.856 [XNIO-1 task-2]  zAO_rJWTSHCx-KTt9osgkA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:40:51.856 [XNIO-1 task-2]  zAO_rJWTSHCx-KTt9osgkA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/9ac0960b
16:40:51.861 [XNIO-1 task-2]  vjXhU7RJQyaSArbz5fAoOw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.861 [XNIO-1 task-2]  vjXhU7RJQyaSArbz5fAoOw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.861 [XNIO-1 task-2]  vjXhU7RJQyaSArbz5fAoOw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.867 [XNIO-1 task-2]  y0OtVFceToShiCjyt0S9Ag DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.867 [XNIO-1 task-2]  y0OtVFceToShiCjyt0S9Ag DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.867 [XNIO-1 task-2]  y0OtVFceToShiCjyt0S9Ag DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.867 [XNIO-1 task-2]  y0OtVFceToShiCjyt0S9Ag DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:51.873 [XNIO-1 task-2]  rKrduiRiTUmU-lMV8TggkQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.874 [XNIO-1 task-2]  rKrduiRiTUmU-lMV8TggkQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.874 [XNIO-1 task-2]  rKrduiRiTUmU-lMV8TggkQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.874 [XNIO-1 task-2]  rKrduiRiTUmU-lMV8TggkQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"9ac0960b","serviceName":"70a92e31-e17c-48b3-970a-f4806474","serviceDesc":"a7b4e509-1b18-44b1-b56e-e2e4be888c13","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"9ac0960b","serviceName":"70a92e31-e17c-48b3-970a-f4806474","serviceDesc":"a7b4e509-1b18-44b1-b56e-e2e4be888c13","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.874 [XNIO-1 task-2]  rKrduiRiTUmU-lMV8TggkQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"9ac0960b","serviceName":"70a92e31-e17c-48b3-970a-f4806474","serviceDesc":"a7b4e509-1b18-44b1-b56e-e2e4be888c13","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"9ac0960b","serviceName":"70a92e31-e17c-48b3-970a-f4806474","serviceDesc":"a7b4e509-1b18-44b1-b56e-e2e4be888c13","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.874 [XNIO-1 task-2]  rKrduiRiTUmU-lMV8TggkQ DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"9ac0960b","serviceName":"70a92e31-e17c-48b3-970a-f4806474","serviceDesc":"a7b4e509-1b18-44b1-b56e-e2e4be888c13","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:40:51.874 [XNIO-1 task-2]  rKrduiRiTUmU-lMV8TggkQ DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"9ac0960b","serviceName":"70a92e31-e17c-48b3-970a-f4806474","serviceDesc":"a7b4e509-1b18-44b1-b56e-e2e4be888c13","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:40:51.874 [XNIO-1 task-2]  rKrduiRiTUmU-lMV8TggkQ DEBUG com.networknt.schema.TypeValidator debug - validate( "70a92e31-e17c-48b3-970a-f4806474", {"serviceType":"swagger","serviceId":"9ac0960b","serviceName":"70a92e31-e17c-48b3-970a-f4806474","serviceDesc":"a7b4e509-1b18-44b1-b56e-e2e4be888c13","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:40:51.874 [XNIO-1 task-2]  rKrduiRiTUmU-lMV8TggkQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"9ac0960b","serviceName":"70a92e31-e17c-48b3-970a-f4806474","serviceDesc":"a7b4e509-1b18-44b1-b56e-e2e4be888c13","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"9ac0960b","serviceName":"70a92e31-e17c-48b3-970a-f4806474","serviceDesc":"a7b4e509-1b18-44b1-b56e-e2e4be888c13","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.883 [XNIO-1 task-2]  qt6JGiEQQOW0MF65Fj2Gfw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.883 [XNIO-1 task-2]  qt6JGiEQQOW0MF65Fj2Gfw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.883 [XNIO-1 task-2]  qt6JGiEQQOW0MF65Fj2Gfw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.891 [XNIO-1 task-2]  yTcKjHOQQ0WfEaGKQa63GQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/84e1e8a6, base path is set to: null
16:40:51.891 [XNIO-1 task-2]  yTcKjHOQQ0WfEaGKQa63GQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.891 [XNIO-1 task-2]  yTcKjHOQQ0WfEaGKQa63GQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:40:51.891 [XNIO-1 task-2]  yTcKjHOQQ0WfEaGKQa63GQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/84e1e8a6, base path is set to: null
16:40:51.892 [XNIO-1 task-2]  yTcKjHOQQ0WfEaGKQa63GQ DEBUG com.networknt.schema.TypeValidator debug - validate( "84e1e8a6", "84e1e8a6", serviceId)
16:40:51.894 [XNIO-1 task-2]  E75cExy-QMmNKZNcKC8zyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/84e1e8a6
16:40:51.894 [XNIO-1 task-2]  E75cExy-QMmNKZNcKC8zyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.894 [XNIO-1 task-2]  E75cExy-QMmNKZNcKC8zyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:40:51.894 [XNIO-1 task-2]  E75cExy-QMmNKZNcKC8zyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/84e1e8a6
16:40:51.896 [XNIO-1 task-2]  HjgeYmbVQMuhMZnWbZjwIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.896 [XNIO-1 task-2]  HjgeYmbVQMuhMZnWbZjwIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.896 [XNIO-1 task-2]  HjgeYmbVQMuhMZnWbZjwIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.896 [XNIO-1 task-2]  HjgeYmbVQMuhMZnWbZjwIQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"84e1e8a6","serviceName":"2b88266d-24f0-4984-a431-e5b3908c","serviceDesc":"c6af3565-82cb-4602-b9f8-14d7aae0289e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"84e1e8a6","serviceName":"2b88266d-24f0-4984-a431-e5b3908c","serviceDesc":"c6af3565-82cb-4602-b9f8-14d7aae0289e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.896 [XNIO-1 task-2]  HjgeYmbVQMuhMZnWbZjwIQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"84e1e8a6","serviceName":"2b88266d-24f0-4984-a431-e5b3908c","serviceDesc":"c6af3565-82cb-4602-b9f8-14d7aae0289e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"84e1e8a6","serviceName":"2b88266d-24f0-4984-a431-e5b3908c","serviceDesc":"c6af3565-82cb-4602-b9f8-14d7aae0289e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.896 [XNIO-1 task-2]  HjgeYmbVQMuhMZnWbZjwIQ DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"84e1e8a6","serviceName":"2b88266d-24f0-4984-a431-e5b3908c","serviceDesc":"c6af3565-82cb-4602-b9f8-14d7aae0289e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
